"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","354","Ivan David Olaya Caseres","15","115 cc Inicio","","1:11.788","","Tolima","CLUB COLOYA RACING TEAM","8"
"2","382","Julián Andrés guío Arévalo","13","115 cc Inicio","14.078","1:10.889","","Cesar","K-LIMA RACING","8"
"3","261","Santiago GAITAN","11","115 cc Inicio","16.814","1:13.563","","Meta","SUTA RACING CLUB","8"
"4","157","Sebastian Fabricio ROMERO TRUJILLO","10","115 cc Inicio","18.409","1:13.644","","Cundinamarca","CLUB GIRARDOT RACING","8"
"5","213","Mario Alejandro GARCIA GARCIA","9","115 cc Inicio","21.174","1:14.222","","Valle del Cauca","MOTOCLUB TRAVESURAS","8"
"6","286","Pedro Reynell BARAJAS BARRIOS","8","115 cc Inicio","22.408","1:12.419","","Tolima","CLUB PISTON RACING","8"
"7","724","David Andres RAMIREZ","7","115 cc Inicio","29.867","1:11.973","","Quindío","CLUB MONSTER GARAGE","8"
"8","115","William PEÑA CARDONA","6","115 cc Inicio","31.813","1:13.393","","Antioquia","CLUB GRILLOS RACING","8"
"9","705","Daniel Fernando Ruiz Garcia","5","115 cc Inicio","1:01.877","1:18.322","","Quindío","CLUB MONSTER GARAGE","8"
"10","325","Brayan Sneider GUTIERREZ CASTAÑEDA","4","115 cc Inicio","1:10.985","1:15.485","","Cesar","K-LIMA RACING","8"
"11","680","Juan Esteban RIVERA MARIN","3","115 cc Inicio","1 Vuelta","1:10.634","","Santander","CLUB FLORIDA EXTREMO","7"
"NT","692","Deibi Alexander naranjo vallejo","0","115 cc Inicio","NT","1:12.219","","Quindío","CLUB DISCOVER QUINDIO","6"
"NT","688","Jhon alexander claro carrillo","0","115 cc Inicio","NT","1:12.489","","Cesar","K-LIMA RACING","6"
"NT","148","OSCAR ADRIAN SUTA MONTAÑEZ","0","115 cc Inicio","NT","1:13.533","","Meta","SUTA RACING CLUB","6"
"NT","153","Jonathan Andres SORZA HERNANDEZ","0","115 cc Inicio","NT","1:15.499","","Cundinamarca","MOTO CLUB MRACING LA VEGA","6"
"NT","159","Juan David Olave Bolaños","0","115 cc Inicio","NT","1:12.717","","Valle del Cauca","MOTOCLUB TRAVESURAS","6"
"NT","480","DAVID SANTIAGO QUEZADA SOTO","0","115 cc Inicio","NT","1:11.558","","Quindío","CLUB MONSTER GARAGE","5"
"NT","732","FREDDY SANTIAGO MAYA OTAYA","0","115 cc Inicio","NT","1:11.274","","Nariño","CLUB DEPORTIVO BUFALO XTREM","5"
"NT","631","Johan GOMEZ PEREZ","0","115 cc Inicio","NT","1:10.486","","Quindío","CLUB RUTEROS DEL QUINDIO","5"
"NT","72","JOAN SEBASTIAN CASTILLO URREA","0","115 cc Inicio","NT","1:11.088","","Valle del Cauca","MOTOCLUB TRAVESURAS","5"
"NT","894","Educardo RIOJAS MORENO","0","115 cc Inicio","NT","1:11.479","","Tolima","CLUB PISTON RACING","5"
"NT","364","Manuel Alejandro MARIN TOVAR","0","115 cc Inicio","NT","1:12.310","","Meta","CLUB LLANEROS RANCING","5"
"NT","104","JUAN CARLOS GIRALDO RAMIREZ","0","115 cc Inicio","NT","1:12.482","","Quindío","CLUB MONSTER GARAGE","5"
"NT","453","Alexander MARIN YEPES","0","115 cc Inicio","NT","1:12.964","","Quindío","CLUB RUTEROS DEL QUINDIO","4"
"NT","209","Elian Smith ULLOA TRIANA","0","115 cc Inicio","NT","1:12.569","","Tolima","CLUB PISTON RACING","4"
"NT","703-E","Jean Carlos aranda González","0","115 cc Inicio","NT","1:11.118","","Cauca","CLUB CORONA CLUB XTREME PARK","3"
"NT","524","Jhon Edwar BALLESTEROS CARDONA","0","115 cc Inicio","NT","1:16.303","","Quindío","CLUB DISCOVER QUINDIO","2"
"NT","410","Simon JULIO MONTOYA","0","115 cc Inicio","NT","1:18.126","","Antioquia","CLUB GRILLOS RACING","1"
"NT","634","Jhonatan stiven Navas Navas","0","115 cc Inicio","NT","1:24.050","","Tolima","CLUB PISTON RACING","1"
"NT","483","MARLON JOSE HERNANDEZ ATENCIO","0","115 cc Inicio","NT","","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO",""
"NT","786","johan daniel barajas barrios","0","115 cc Inicio","NT","","","Cesar","K-LIMA RACING",""
"EX","755","Didier Esneider ALBORNOZ IBARGUEN","0","115 cc Inicio","EX","1:11.894","","Quindío","CLUB MONSTER GARAGE","8"
