"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","714","Oscar Alejandro RUIZ RESTREPO","15","115 cc Master","","1:09.097","","Antioquia","CLUB LOS PASKINES","8"
"2","119","Cesar Alfonso TELLEZ OCAMPO","13","115 cc Master","0.118","1:09.053","","Santander","CLUB FLORIDA EXTREMO","8"
"3","710","Alexander DIAZ CASTAÑO","11","115 cc Master","0.262","1:08.962","","Cundinamarca","CLUB GIRARDOT RACING","8"
"4","227","Rigo German SALAZAR CERON","10","115 cc Master","0.849","1:09.158","","Quindío","CLUB MONSTER GARAGE","8"
"5","888","Jorge Yair BERNAL SUAREZ","9","115 cc Master","11.497","1:09.575","","Cundinamarca","CLUB GIRARDOT RACING","8"
"6","578","Raul Andres ARTUNDUAGA ROJAS","8","115 cc Master","11.605","1:09.150","","Quindío","CLUB MONSTER GARAGE","8"
"7","722","Edwin JARAMILLO GALLEGO","7","115 cc Master","11.739","1:10.127","","Quindío","CLUB MONSTER GARAGE","8"
"8","329","Daniel Alberto PULGARIN RESTREPO","6","115 cc Master","27.840","1:12.085","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"9","707","Juan Pablo PUERTA ALZATE","5","115 cc Master","31.123","1:12.111","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"10","286","Pedro Reynell BARAJAS BARRIOS","4","115 cc Master","32.198","1:12.579","","Tolima","CLUB PISTON RACING","8"
"11","560","Diego Armando barrera Sánchez","3","115 cc Master","32.210","1:12.747","","Casanare","CLUB EL PALMAR","8"
"12","83","Guillermo Augusto DIAZ","2","115 cc Master","37.556","1:13.240","","Quindío","CLUB MONSTER GARAGE","8"
"13","769","Juan Carlos BUILES MARIN","1","115 cc Master","37.637","1:13.051","","Antioquia","CLUB GRILLOS RACING","8"
"14","217","Juan Benedicto MARTINEZ GUTIERREZ","1","115 cc Master","39.463","1:13.589","","Quindío","CLUB MONSTER GARAGE","8"
"15","106","Jose Wilson SAAVEDRA BARRERA","1","115 cc Master","1 Vuelta","1:13.368","","Antioquia","CLUB GRILLOS RACING","7"
"NT","452","Hugo Mauricio ARROYAVE ARANDA","0","115 cc Master","NT","1:16.382","","Cundinamarca","CLUB GIRARDOT RACING","3"
"NT","162","ALEXANDER GUARIN SALAZAR","0","115 cc Master","NT","1:14.504","","Quindío","CLUB MONSTER GARAGE","1"
"NT","81","Juan Pablo RUIZ ALVAREZ","0","115 cc Master","NT","1:20.243","","Tolima","GR 522 RACING","1"
"NT","178","Carlos Andres CARDOZO MILLAN","0","115 cc Master","NT","","","Tolima","CLUB PISTON RACING",""
