"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","41","Nicolas DUQUE PATIÑO","15","115 cc Elite","","1:07.490","","Meta","VILLAVICENCIO RACING CLUB","8"
"2","98","Mateo CASTELLANOS CARVAJAL","13","115 cc Elite","0.021","1:07.591","","Caldas","CLUB JHC RACING","8"
"3","745-E","Jeronimo HENAO MARIN","11","115 cc Elite","2.389","1:07.679","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"4","528","Juan Andres MARIN ARANGO","10","115 cc Elite","2.511","1:07.432","","Valle del Cauca","MOTOCLUB TRAVESURAS","8"
"5","429","Valentina MARTINEZ TRUJILLO","9","115 cc Elite","7.667","1:07.834","","Tolima","CLUB PISTON RACING","8"
"6","17","Cristian Camilo VASQUEZ POSADA","8","115 cc Elite","7.854","1:08.392","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"7","818","Jorge Andres Gomez Eraso","7","115 cc Elite","8.075","1:08.170","","Nariño","CLUB DEPORTIVO BUFALO XTREM","8"
"8","243","David Fernando BURBANO GOMEZ","6","115 cc Elite","8.865","1:07.993","","Putumayo","TEAM RACING MOCOA","8"
"9","145","Juan Pablo GALVIS QUINTERO","5","115 cc Elite","10.226","1:08.464","","Putumayo","PUERTO ASIS","8"
"10","387","Germán Darío Olaya caseres","4","115 cc Elite","10.346","1:08.178","","Tolima","CLUB COLOYA RACING TEAM","8"
"11","227","Rigo German SALAZAR CERON","3","115 cc Elite","10.691","1:08.528","","Quindío","CLUB MONSTER GARAGE","8"
"12","137","Alvaro Javier PLAZAS GONZALEZ","2","115 cc Elite","10.718","1:08.515","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"13","214","Gabriel Alejandro VALDIVIESO FLOREZ","1","115 cc Elite","15.165","1:08.830","","Bogotá D.C.","Racing pilots Academy","8"
"14","710","Alexander DIAZ CASTAÑO","1","115 cc Elite","15.200","1:08.764","","Cundinamarca","CLUB GIRARDOT RACING","8"
"15","210","Jhon Mario GARCÍA CASTRO","1","115 cc Elite","24.147","1:09.751","","Valle del Cauca","MOTOCLUB TRAVESURAS","8"
"16","517","Lyam Andres RIOS QUINTERO","0","115 cc Elite","29.910","1:10.599","","Cesar","K-LIMA RACING","8"
"17","707","Juan Pablo PUERTA ALZATE","0","115 cc Elite","36.043","1:11.050","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"18","205","Miguel Angel RIVERA MARIN","0","115 cc Elite","37.389","1:01.366","","Santander","CLUB FLORIDA EXTREMO","8"
"19","717","Nolberto MARTINEZ CANO","0","115 cc Elite","39.562","1:11.562","","Quindío","CLUB MONSTER GARAGE","8"
"20","424","Juan Manuel FORERO BANDERA","0","115 cc Elite","42.619","1:11.976","","Tolima","CLUB PISTON RACING","8"
"21","329","Daniel Alberto PULGARIN RESTREPO","0","115 cc Elite","42.731","1:11.839","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"NT","722","Edwin JARAMILLO GALLEGO","0","115 cc Elite","NT","1:10.058","","Quindío","CLUB MONSTER GARAGE","7"
