"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","714","Oscar Alejandro RUIZ RESTREPO","15","150 cc Elite","","1:07.993","","Antioquia","CLUB LOS PASKINES","8"
"2","207","David Alejandro FORERO ZAPATA","13","150 cc Elite","0.072","1:08.340","","Putumayo","TEAM RACING MOCOA","8"
"3","243","David Fernando BURBANO GOMEZ","11","150 cc Elite","0.134","1:08.626","","Putumayo","TEAM RACING MOCOA","8"
"4","166","Johan Camilo GIRALDO RAMIREZ","10","150 cc Elite","0.232","1:08.454","","Quindío","CLUB MONSTER GARAGE","8"
"5","28","Jose Miguel GONZALEZ HERNANDEZ","9","150 cc Elite","0.651","1:08.648","","Quindío","CLUB MONSTER GARAGE","8"
"6","41","Nicolas DUQUE PATIÑO","8","150 cc Elite","1.567","1:08.962","","Meta","VILLAVICENCIO RACING CLUB","8"
"7","227","Rigo German SALAZAR CERON","7","150 cc Elite","11.605","1:10.192","","Quindío","CLUB MONSTER GARAGE","8"
"8","17","Cristian Camilo VASQUEZ POSADA","6","150 cc Elite","12.384","1:09.741","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"9","375","Wilderman RAMIREZ","5","150 cc Elite","12.395","1:09.834","","Antioquia","CLUB GRILLOS RACING","8"
"10","429","Valentina MARTINEZ TRUJILLO","4","150 cc Elite","12.421","1:09.771","","Tolima","CLUB PISTON RACING","8"
"11","119","Cesar Alfonso TELLEZ OCAMPO","3","150 cc Elite","17.170","1:09.774","","Santander","CLUB FLORIDA EXTREMO","8"
"12","110","Nicolas EUSSE LONDOÑO","2","150 cc Elite","25.950","1:11.058","","Antioquia","STUNT FIVE","8"
"13","214","Gabriel Alejandro VALDIVIESO FLOREZ","1","150 cc Elite","30.844","1:10.893","","Bogotá D.C.","Racing pilots Academy","8"
"14","137","Alvaro Javier PLAZAS GONZALEZ","1","150 cc Elite","30.980","1:10.496","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"15","162","ALEXANDER GUARIN SALAZAR","1","150 cc Elite","32.716","1:11.735","","Quindío","CLUB MONSTER GARAGE","8"
"16","219","Edwin Fernando VARON ULLOA","0","150 cc Elite","36.338","1:12.055","","Tolima","CLUB PISTON RACING","8"
"17","255","Juan Sebastian WONG RODRÍGUEZ","0","150 cc Elite","36.446","1:11.340","","Quindío","CLUB MONSTER GARAGE","8"
"18","941","Diego Libany Garcia Bernal","0","150 cc Elite","55.458","1:12.645","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"19","769","Juan Carlos BUILES MARIN","0","150 cc Elite","1:13.947","1:16.926","","Antioquia","CLUB GRILLOS RACING","8"
"20","637","Jhon Jairo RAMIREZ VASQUEZ","0","150 cc Elite","2 Vueltas","1:13.313","","Antioquia","CLUB GRILLOS RACING","6"
