"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","314","Andres Felipe GONZALEZ CIFUENTES","15","220 cc 4T","","1:03.700","","Meta","SUTA RACING CLUB","8"
"2","28","Jose Miguel GONZALEZ HERNANDEZ","13","220 cc 4T","0.045","1:03.833","","Quindío","CLUB MONSTER GARAGE","8"
"3","417","Christian David CHAVARRO GALVIS","11","220 cc 4T","0.550","1:02.995","","Tolima","CLUB RADICAL RACING TEAM","8"
"4","370","Cristian David CRUZ ACOSTA","10","220 cc 4T","0.585","1:03.403","","Tolima","CLUB PISTON RACING","8"
"5","442","Juan Esteban MUÑOZ MORALES","9","220 cc 4T","0.643","1:03.592","","Bogotá D.C.","Racing pilots Academy","8"
"6","734","Jefferson Camilo RODRIGUEZ MUÑOZ","8","220 cc 4T","5.953","1:01.017","","Cundinamarca","CLUB GIRARDOT RACING","8"
"7","46","Maria Paula ARIAS MEDINA","7","220 cc 4T","8.076","1:04.589","","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","8"
"8","207","David Alejandro FORERO ZAPATA","6","220 cc 4T","8.257","1:04.310","","Putumayo","TEAM RACING MOCOA","8"
"9","472","Cristian Leonardo RINCON ORTIZ","5","220 cc 4T","19.751","1:05.946","","Bogotá D.C.","Todo terreno track","8"
"10","898","Cristian Camilo CADAVID BETANCUR","4","220 cc 4T","19.806","1:05.954","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"11","175","Edicson Andres LOPEZ LUIS","3","220 cc 4T","28.883","1:07.104","","Tolima","CLUB PISTON RACING","8"
"12","290","DANIELA TRIANA GIL","2","220 cc 4T","37.952","1:07.788","","Bogotá D.C.","Racing pilots Academy","8"
"13","790","Juan Gerardo ALBARAN HINCAPIE","1","220 cc 4T","40.147","1:07.383","","Antioquia","CLUB LOS PASKINES","8"
"14","901","Yeferson alexander Morales Lopez","1","220 cc 4T","41.607","1:08.312","","Bogotá D.C.","Racing pilots Academy","8"
"15","233","Cristian Camilo BELLO GONZALEZ","1","220 cc 4T","43.461","1:08.541","","Tolima","CLUB PISTON RACING","8"
"16","679","Sebastian MARTINEZ SILVA","0","220 cc 4T","43.463","1:08.487","","Tolima","CLUB PISTON RACING","8"
"17","408","David Gerardo BETANCOURTH PABON","0","220 cc 4T","44.558","1:08.690","","Bogotá D.C.","Todo terreno track","8"
"18","720","Jorge Andres VILLEGAS RAMÍREZ","0","220 cc 4T","47.311","1:08.709","","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","8"
"19","918","Nicolás David Gaona Ramos","0","220 cc 4T","50.810","1:09.342","","Bogotá D.C.","Racing pilots Academy","8"
"20","391","Jeiber duban ocampo Mosquera","0","220 cc 4T","54.201","1:09.235","","Bogotá D.C.","Racing pilots Academy","8"
"21","153","Jonathan Andres SORZA HERNANDEZ","0","220 cc 4T","57.239","1:09.946","","Cundinamarca","MOTO CLUB MRACING LA VEGA","8"
"22","321","Nicolas Eduardo GUIO ESCOBAR","0","220 cc 4T","57.299","1:10.103","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"23","934","Michael Bresneck OROZCO CRUZ","0","220 cc 4T","58.271","1:10.112","","Tolima","CLUB PISTON RACING","8"
"24","552","Samuel Esteban BERNAL CARDENAS","0","220 cc 4T","1:00.036","1:08.953","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"25","384","Edimberg Estiven VELASQUEZ CHAPARRO","0","220 cc 4T","1:02.101","1:10.508","","Tolima","CLUB PISTON RACING","8"
"26","642","Aaron Thomas GOMEZ GIRALDO","0","220 cc 4T","1:04.383","1:07.901","","Casanare","Club Casanare","8"
"27","618","Alan Steed CIFUENTES GOMEZ","0","220 cc 4T","1:05.382","1:11.427","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"NT","564","EDWARD ALEJANDRO FRANCISCONI VARGAS","0","220 cc 4T","NT","1:08.494","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","6"
"NT","250","walter steven rodriguez gerena","0","220 cc 4T","NT","1:06.736","","Cundinamarca","CLUB GIRARDOT RACING","3"
"NT","710","Alexander DIAZ CASTAÑO","0","220 cc 4T","NT","1:08.238","","Cundinamarca","CLUB GIRARDOT RACING","3"
"NT","139","Cesar Steven PRIETO USGAME","0","220 cc 4T","NT","1:11.103","","Cauca","CLUB CORONA CLUB XTREME PARK","2"
"NT","367","Johon Alexsander FARFAN CRISTANCHO","0","220 cc 4T","NT","","","Tolima","CLUB PISTON RACING",""
"NT","214","Gabriel Alejandro VALDIVIESO FLOREZ","0","220 cc 4T","NT","","","Bogotá D.C.","Racing pilots Academy",""
"NT","21","Yefry Alexis VANEGAS GIRALDO","0","220 cc 4T","NT","","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER",""
"NT","647","Jorge Andrés Diaz Ardila","0","220 cc 4T","NT","","","Tolima","CLUB PISTON RACING",""
"NT","931","Cesar Augusto VALDIVIESO VARGAS","0","220 cc 4T","NT","","","Cundinamarca","CLUB GIRARDOT RACING",""
"NT","350-E","Jesus Álvarez","0","220 cc 4T","NT","","","Tolima","GR 522 RACING",""
