"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","931","Cesar Augusto VALDIVIESO VARGAS","15","CRS Expertos","","1:07.737","","Cundinamarca","CLUB GIRARDOT RACING","8"
"2","528","Juan Andres MARIN ARANGO","13","CRS Expertos","0.029","1:07.472","","Valle del Cauca","MOTOCLUB TRAVESURAS","8"
"3","370","Cristian David CRUZ ACOSTA","11","CRS Expertos","0.076","1:07.637","","Tolima","CLUB PISTON RACING","8"
"4","367","Johon Alexsander FARFAN CRISTANCHO","10","CRS Expertos","0.178","1:07.633","","Tolima","CLUB PISTON RACING","8"
"5","417","Christian David CHAVARRO GALVIS","9","CRS Expertos","0.225","1:07.510","","Tolima","CLUB RADICAL RACING TEAM","8"
"6","734","Jefferson Camilo RODRIGUEZ MUÑOZ","8","CRS Expertos","1.029","1:07.318","","Cundinamarca","CLUB GIRARDOT RACING","8"
"7","791","Alonso Herrera Carreño","7","CRS Expertos","1.099","1:07.556","","Cundinamarca","CLUB GIRARDOT RACING","8"
"8","21","Yefry Alexis VANEGAS GIRALDO","6","CRS Expertos","1.520","1:07.835","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"9","46","Maria Paula ARIAS MEDINA","5","CRS Expertos","1.810","1:07.684","","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","8"
"10","408","David Gerardo BETANCOURTH PABON","4","CRS Expertos","5.862","1:08.252","","Bogotá D.C.","Todo terreno track","8"
"11","321","Nicolas Eduardo GUIO ESCOBAR","3","CRS Expertos","5.974","1:08.054","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"12","881","Jefferson Daniel CONTRERAS PINILLA","2","CRS Expertos","12.756","1:08.964","","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","8"
"13","526","Henry Wilson TORRES HERNANDEZ","1","CRS Expertos","13.127","1:09.033","","Tolima","CLUB PISTON RACING","8"
"14","985","Juan Carlos SANCHEZ RAMIREZ","1","CRS Expertos","13.296","1:08.406","","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","8"
"15","472","Cristian Leonardo RINCON ORTIZ","1","CRS Expertos","13.307","1:09.333","","Bogotá D.C.","Todo terreno track","8"
"16","314","Andres Felipe GONZALEZ CIFUENTES","0","CRS Expertos","14.636","1:09.328","","Meta","SUTA RACING CLUB","8"
"17","100","Daniel Santiago GARCIA MARTINEZ","0","CRS Expertos","21.839","1:10.230","","Tolima","CLUB PISTON RACING","8"
"18","546","Katherin TORO FORERO","0","CRS Expertos","26.399","1:10.691","","Tolima","CLUB PISTON RACING","8"
"NT","390","Leider Johan ACEVEDO PERILLA","0","CRS Expertos","NT","1:09.271","","Cesar","K-LIMA RACING","3"
"NT","642","Aaron Thomas GOMEZ GIRALDO","0","CRS Expertos","NT","1:10.888","","Casanare","Club Casanare","1"
"NT","442","Juan Esteban MUÑOZ MORALES","0","CRS Expertos","NT","1:11.104","","Bogotá D.C.","Racing pilots Academy","1"
