"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","238","Juan Felipe LOPEZ CUBIDES","15","CRS Novatos","","1:09.075","","Bogotá D.C.","Racing pilots Academy","8"
"2","175","Edicson Andres LOPEZ LUIS","13","CRS Novatos","0.026","1:08.942","","Tolima","CLUB PISTON RACING","8"
"3","290","DANIELA TRIANA GIL","11","CRS Novatos","1.470","1:09.070","","Bogotá D.C.","Racing pilots Academy","8"
"4","808","Humberto CULMA MUÑOZ","10","CRS Novatos","3.553","1:09.058","","Tolima","CLUB PISTON RACING","8"
"5","413","Nilam Mateo QUIROGA HERRERA","9","CRS Novatos","7.029","1:09.602","","Tolima","CLUB MOTORBIKE","8"
"6","552","Samuel Esteban BERNAL CARDENAS","8","CRS Novatos","7.239","1:10.073","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"7","404","Anderson Stid HERRERA WALTEROS","7","CRS Novatos","7.557","1:09.603","","Tolima","CLUB PISTON RACING","8"
"8","564","EDWARD ALEJANDRO FRANCISCONI VARGAS","6","CRS Novatos","7.591","1:09.639","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"9","655","Jhoan Sebastian bernal Aldana","5","CRS Novatos","9.913","1:09.630","","Tolima","CLUB PISTON RACING","8"
"10","313","Roberson cuellar","4","CRS Novatos","15.055","1:09.714","","Bogotá D.C.","Todo terreno track","8"
"11","384","Edimberg Estiven VELASQUEZ CHAPARRO","3","CRS Novatos","17.127","1:10.564","","Tolima","CLUB PISTON RACING","8"
"12","733","Daniel Santiago Martínez quevedo","2","CRS Novatos","18.079","1:09.921","","Tolima","CLUB PISTON RACING","8"
"13","792","Daniel Felipe Briceño Bautista","1","CRS Novatos","18.083","1:11.065","","Cundinamarca","CLUB GIRARDOT RACING","8"
"14","833","Fabián Manolo Flores Morales","1","CRS Novatos","18.572","1:10.543","","Cundinamarca","CLUB GIRARDOT RACING","8"
"15","275","Julian Andres HERRERA WALTEROS","1","CRS Novatos","18.680","1:10.745","","Tolima","CLUB PISTON RACING","8"
"16","647","Jorge Andrés Diaz Ardila","0","CRS Novatos","18.741","1:09.769","","Tolima","CLUB PISTON RACING","8"
"17","559","Kevin Andres Alemán Hernández","0","CRS Novatos","19.040","1:11.004","","Valle del Cauca","Dos Ruedas Racing Team","8"
"18","391","Jeiber duban ocampo Mosquera","0","CRS Novatos","22.929","1:11.147","","Bogotá D.C.","Racing pilots Academy","8"
"19","87","gerson caleb serrano daza","0","CRS Novatos","23.638","1:11.012","","Bogotá D.C.","Todo terreno track","8"
"20","918","Nicolás David Gaona Ramos","0","CRS Novatos","24.672","1:11.284","","Bogotá D.C.","Racing pilots Academy","8"
"21","512","Elian Felipe Maldonado Solano","0","CRS Novatos","24.790","1:10.384","","Bogotá D.C.","Todo terreno track","8"
"22","281","Daniel Felipe GUERRERO MONTILLA","0","CRS Novatos","24.807","1:11.264","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"23","934","Michael Bresneck OROZCO CRUZ","0","CRS Novatos","24.839","1:11.246","","Tolima","CLUB PISTON RACING","8"
"24","539","Juan Diego Moreno Mendez","0","CRS Novatos","25.813","1:11.323","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"25","618","Alan Steed CIFUENTES GOMEZ","0","CRS Novatos","26.987","1:11.147","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"26","122","Jeison David Sanchez Restrepo","0","CRS Novatos","26.999","1:11.500","","Bogotá D.C.","Todo terreno track","8"
"27","823","Cristian David FRANCO CAMACHO","0","CRS Novatos","35.653","1:12.158","","Huila","CLUB MOTO JAPONESA","8"
"28","901","Yeferson alexander Morales Lopez","0","CRS Novatos","42.333","1:09.151","","Bogotá D.C.","Racing pilots Academy","8"
"NT","233","Cristian Camilo BELLO GONZALEZ","0","CRS Novatos","NT","1:10.424","","Tolima","CLUB PISTON RACING","7"
"NT","572","Valeria MUÑOZ MORALES","0","CRS Novatos","NT","1:10.290","","Bogotá D.C.","Racing pilots Academy","7"
"NT","955","Oswaldo Oliver Lopez saenz","0","CRS Novatos","NT","1:11.058","","Cundinamarca","CLUB GIRARDOT RACING","7"
"NT","785","Brandon Smith Jiménez velandia","0","CRS Novatos","NT","1:10.547","","Tolima","CLUB PISTON RACING","6"
"NT","679","Sebastian MARTINEZ SILVA","0","CRS Novatos","NT","1:11.408","","Tolima","CLUB PISTON RACING","4"
"NT","139","Cesar Steven PRIETO USGAME","0","CRS Novatos","NT","1:10.485","","Cauca","CLUB CORONA CLUB XTREME PARK","2"
"NT","156","Karen Tatiana REYES LAMPREA","0","CRS Novatos","NT","1:09.955","","Bogotá D.C.","Racing pilots Academy","2"
"NT","937","Daniel steven niño jaramillo","0","CRS Novatos","NT","1:18.049","","Tolima","CLUB PISTON RACING","1"
"NT","371","Edna Lizeth ESCOBAR CORTES","0","CRS Novatos","NT","","","Cundinamarca","CLUB IGUANA RACING GIRARDOT",""
"NT","200","Jhon Felipe cañón casas","0","CRS Novatos","NT","","","Bogotá D.C.","Todo terreno track",""
"NT","997","Laura Camila Castaño Vasquez","0","CRS Novatos","NT","","","Cundinamarca","CLUB GIRARDOT RACING",""
"EX","720","Jorge Andres VILLEGAS RAMÍREZ","0","CRS Novatos","EX","1:08.221","","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","8"
