"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","468","Christian CAJICA","15","Cuatrimotard (II + III GP)","","1:07.642","","Bogotá D.C.","Racing pilots Academy","6"
"2","527","David Alejandro franco Orozco","13","Cuatrimotard (II + III GP)","0.631","1:08.062","","Antioquia","STUNT FIVE","6"
"3","437","Julián Enrique González Alfonso","11","Cuatrimotard (II + III GP)","26.394","1:12.679","","Antioquia","CLUB MOTOCROSS YARUMAL","6"
"4","143","Jorge enrique espinosa romero","10","Cuatrimotard (II + III GP)","27.990","1:12.733","","Bogotá D.C.","Racing pilots Academy","6"
"5","778","JHONATAN STEVENS IDAGARRA LOPEZ","9","Cuatrimotard (II + III GP)","39.465","1:14.543","","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","6"
"6","192","Juan Sebastian Medina acevedo","8","Cuatrimotard (II + III GP)","40.308","1:15.251","","Antioquia","CLUB MOTOCROSS DE YARUMAL","6"
"7","575","Carlos Enrique González Mora","7","Cuatrimotard (II + III GP)","1 Vuelta","1:26.750","","Antioquia","CLUB MOTOCROSS YARUMAL","5"
"NT","804-E","Gustavo Pinzon castillo","0","Cuatrimotard (II + III GP)","NT","","","Bogotá D.C.","Todo terreno track",""
"NT","6","Mauricio RUIZ ANGEL","0","Cuatrimotard (II + III GP)","NT","","","Antioquia","STUNT FIVE",""
"NT","990","Brayan Andrés canro contreras","0","Cuatrimotard (II + III GP)","NT","","","Bogotá D.C.","Racing pilots Academy",""
"NT","230","JUAN DAVID MUÑOZ RESTREPO","0","Cuatrimotard (II + III GP)","NT","","","Antioquia","CLUB GRILLOS RACING",""
