"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","46","Maria Paula ARIAS MEDINA","15","FEMENINA EXP","","1:10.536","","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","8"
"2","156","Karen Tatiana REYES LAMPREA","13","FEMENINA EXP","0.536","1:10.806","","Bogotá D.C.","Racing pilots Academy","8"
"3","290","DANIELA TRIANA GIL","11","FEMENINA EXP","0.823","1:10.598","","Bogotá D.C.","Racing pilots Academy","8"
"4","546","Katherin TORO FORERO","10","FEMENINA EXP","1.143","1:10.063","","Tolima","CLUB PISTON RACING","8"
"5","572","Valeria MUÑOZ MORALES","9","FEMENINA EXP","2.262","1:10.361","","Bogotá D.C.","Racing pilots Academy","8"
"6","591","Paula Fernanda PEÑA HERNANDEZ","8","FEMENINA EXP","13.911","1:12.172","","Tolima","CLUB PISTON RACING","8"
"7","868","Liz Dayana LUNA GUTIERREZ","7","FEMENINA EXP","20.920","1:12.899","","Cundinamarca","CLUB GIRARDOT RACING","8"
"8","974","Angie Carolina MUJICA PAEZ","6","FEMENINA EXP","28.182","1:13.785","","Quindío","CLUB MONSTER GARAGE","8"
"9","271","Paula Andrea URREGO ARIAS","5","FEMENINA EXP","46.777","1:16.239","","Cundinamarca","CLUB GIRARDOT RACING","8"
"NT","371","Edna Lizeth ESCOBAR CORTES","0","FEMENINA EXP","NT","","","Cundinamarca","CLUB IGUANA RACING GIRARDOT",""
