"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","424","Juan Manuel FORERO BANDERA","15","Mini bike 190","","1:03.629","","Tolima","CLUB PISTON RACING","6"
"2","517","Lyam Andres RIOS QUINTERO","13","Mini bike 190","9.850","1:04.967","","Cesar","K-LIMA RACING","6"
"3","558","fabian yesid sanabria zea","11","Mini bike 190","35.091","1:09.590","","Bogotá D.C.","Racing pilots Academy","6"
"NT","701","Aidan Thomas VEGA MEJIA","0","Mini bike 190","NT","1:05.258","","Bogotá D.C.","Racing pilots Academy","5"
"NT","130","Keller Andres FARFAN BENAVIDES","0","Mini bike 190","NT","","","Tolima","CLUB PISTON RACING",""
"NT","76","Santiago Jimenez Mejia","0","Mini bike 190","NT","","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER",""
"NT","312","Eder Sebastian JARAMILLO YARA","0","Mini bike 190","NT","","","Tolima","CLUB PISTON RACING",""
"NT","518","Alan Javier RIOS QUINTERO","0","Mini bike 190","NT","","","Cesar","K-LIMA RACING",""
"NT","590","Giovanni Andres AREVALO SALCEDO","0","Mini bike 190","NT","","","Bogotá D.C.","Todo terreno track",""
"EX","214","Gabriel Alejandro VALDIVIESO FLOREZ","0","Mini bike 190","EX","1:03.558","","Bogotá D.C.","Racing pilots Academy","6"
