"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","909","Javier ARIAS CASTAÑEDA","15","SM novatos - Metzeler","","58.593","","Antioquia","CLUB LOS PASKINES","9"
"2","387","Germán Darío Olaya caseres","13","SM novatos - Metzeler","0.794","58.552","","Tolima","CLUB COLOYA RACING TEAM","9"
"3","207","David Alejandro FORERO ZAPATA","11","SM novatos - Metzeler","0.903","57.689","","Putumayo","TEAM RACING MOCOA","9"
"4","144","John Andrés VIVAS VARON","10","SM novatos - Metzeler","8.242","58.987","","Valle del Cauca","Dos Ruedas Racing Team","9"
"5","710","Alexander DIAZ CASTAÑO pendiente legalizar ","9","SM novatos - Metzeler","9.047","56.686","","Cundinamarca","","9"
"6","19","Edwin Alfonso Ruiz","8","SM novatos - Metzeler","12.048","59.656","","Tolima","CLUB MOTORBIKE","9"
"7","842","Alexander DUQUE PATIÑO","7","SM novatos - Metzeler","19.282","58.946","","Meta","VILLAVICENCIO RACING CLUB","9"
"8","81","Juan Pablo RUIZ ALVAREZ","6","SM novatos - Metzeler","19.283","1:00.577","","Tolima","GR 522 RACING","9"
"9","707","Juan Pablo PUERTA ALZATE","5","SM novatos - Metzeler","19.586","1:00.215","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","9"
"10","330","Mauricio VIEIRA SOTO","4","SM novatos - Metzeler","19.875","59.918","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","9"
"11","249","Ricardo ORTEGON GUZMAN","3","SM novatos - Metzeler","22.852","59.615","","Tolima","CLUB BUNDE ESPINAL","9"
"12","94","Deiby Jair CORRALES RIOS","2","SM novatos - Metzeler","23.478","1:00.222","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","9"
"13","71","Christian Restrepo Henao","1","SM novatos - Metzeler","26.155","1:00.734","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","9"
"14","160","Jose Angel Moreno Varon","1","SM novatos - Metzeler","27.164","58.643","","Tolima","CLUB MOTORBIKE","9"
"15","452","Hugo Mauricio ARROYAVE ARANDA","1","SM novatos - Metzeler","28.283","1:01.417","","Cundinamarca","CLUB GIRARDOT RACING","9"
"16","889","Gustavo Adolfo RUGELES URBINA","0","SM novatos - Metzeler","29.693","1:01.395","","Bogotá D.C.","Racing pilots Academy","9"
"17","938","Luis Alejandro BALLEN CORTES","0","SM novatos - Metzeler","37.936","1:01.893","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","9"
