"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","408","David Gerardo BETANCOURTH PABON","15","Suzuki GSX R/S 150","","1:12.419","","Bogotá D.C.","Todo terreno track","8"
"2","552","Samuel Esteban BERNAL CARDENAS","13","Suzuki GSX R/S 150","2.914","1:12.999","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"3","263","Henry alexander Rodriguez castillo","11","Suzuki GSX R/S 150","3.093","1:12.990","","Tolima","CLUB PISTON RACING","8"
"4","259","Cristian Leonardo HERRERA ALVAREZ","10","Suzuki GSX R/S 150","3.323","1:12.774","","Bogotá D.C.","Racing pilots Academy","8"
"5","518","Alan Javier RIOS QUINTERO","9","Suzuki GSX R/S 150","4.090","1:13.151","","Cesar","K-LIMA RACING","8"
"6","925","JUAN FELIPE ARANA REY","8","Suzuki GSX R/S 150","7.658","1:12.989","","Bogotá D.C.","Racing pilots Academy","8"
"7","323","Juan Jose ARREDONDO","7","Suzuki GSX R/S 150","7.799","1:13.689","","Antioquia","CLUB LOS PASKINES","8"
"8","756","Thomas SUAREZ COCOMA","6","Suzuki GSX R/S 150","15.157","1:13.903","","Bogotá D.C.","Racing pilots Academy","8"
"9","432","Luis Alberto RODRIGUEZ PALOMINO","5","Suzuki GSX R/S 150","17.292","1:13.644","","Huila","CLUB MOTO JAPONESA","8"
"10","523","ANDRÉS FLÓREZ TORRES","4","Suzuki GSX R/S 150","17.317","1:14.376","","Bogotá D.C.","Todo terreno track","8"
"11","413","Nilam Mateo QUIROGA HERRERA","3","Suzuki GSX R/S 150","18.061","1:14.538","","Tolima","CLUB MOTORBIKE","8"
"12","706","Juan Sebastián Pinzon López","2","Suzuki GSX R/S 150","25.888","1:15.278","","Bogotá D.C.","Todo terreno track","8"
"13","303","Juan felipe pineda ortiz","1","Suzuki GSX R/S 150","33.491","1:15.766","","Bogotá D.C.","Racing pilots Academy","8"
"14","548","Victor Alfonso ARCO RUSSI","1","Suzuki GSX R/S 150","44.014","1:17.616","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"15","666","Juan David Moná Guío","1","Suzuki GSX R/S 150","47.828","1:18.042","","Bogotá D.C.","Todo terreno track","8"
"16","858","Juan Camilo Bernier Castro","0","Suzuki GSX R/S 150","47.876","1:17.461","","Bogotá D.C.","Todo terreno track","8"
"17","624","José Luis Torres Rivera","0","Suzuki GSX R/S 150","55.436","1:18.567","","Cundinamarca","CLUB GIRARDOT RACING","8"
"18","700","juan felipe chacon perilla","0","Suzuki GSX R/S 150","55.479","1:18.875","","Cundinamarca","LISTO PILOTO","8"
"19","84","Jhonier Stivel Useche Niño","0","Suzuki GSX R/S 150","56.291","1:18.933","","Bogotá D.C.","Club BOGOTA","8"
"20","351","Edison Ricardo Chaparro Pineda","0","Suzuki GSX R/S 150","58.387","1:18.966","","Bogotá D.C.","Todo terreno track","8"
"21","910","Jenny Paola Castro Vargas","0","Suzuki GSX R/S 150","1 Vuelta","1:22.387","","Bogotá D.C.","Todo terreno track","7"
"22","821","Karen Sofía Muñoz Sanabria","0","Suzuki GSX R/S 150","1 Vuelta","1:22.483","","Bogotá D.C.","Club BOGOTA","7"
"23","574","JOAN SEBASTIAN INFANTE CORTÉS","0","Suzuki GSX R/S 150","1 Vuelta","1:22.008","","Bogotá D.C.","Racing pilots Academy","7"
"24","201","Juan Camilo gelvez pabon","0","Suzuki GSX R/S 150","1 Vuelta","1:17.182","","Tolima","CLUB PISTON RACING","7"
"NT","134","Jesús Enrique lenci Gutiérrez","0","Suzuki GSX R/S 150","NT","1:18.808","","Cundinamarca","LISTO PILOTO","6"
"NT","186","Jonathan FARFAN","0","Suzuki GSX R/S 150","NT","1:14.500","","Tolima","CLUB PISTON RACING","5"
"NT","613","Ivan Andres Celis Torres","0","Suzuki GSX R/S 150","NT","1:14.440","","Bogotá D.C.","Todo terreno track","5"
"NT","130","Keller Andres FARFAN BENAVIDES","0","Suzuki GSX R/S 150","NT","1:14.467","","Tolima","CLUB PISTON RACING","5"
