"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","91","Tomas MORENO PALACIO","15","X-bikes B","","1:00.475","","Antioquia","CLUB LOS PASKINES","8"
"2","587","Cristian Camilo OSPINA ZULUAGA","13","X-bikes B","20.217","1:03.155","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"3","429","Valentina MARTINEZ TRUJILLO","11","X-bikes B","23.108","1:03.549","","Tolima","CLUB PISTON RACING","8"
"4","281","Daniel Felipe GUERRERO MONTILLA","10","X-bikes B","32.560","1:05.023","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8"
"5","331","Johan Alejandro Fajardo Jaime","9","X-bikes B","1 Vuelta","1:06.036","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","7"
"6","149","Andres Orlando RONDON PERDOMO","8","X-bikes B","1 Vuelta","1:07.288","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","7"
"NT","629","Diego Fernando ROMERO CARDENAS","0","X-bikes B","NT","","","Tolima","CLUB MOTORBIKE",""
"NT","81","Juan Pablo RUIZ ALVAREZ","0","X-bikes B","NT","","","Tolima","GR 522 RACING",""
"NT","256","Cristian Tarazona Romero","0","X-bikes B","NT","","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO",""
"NT","187","JOHN JAIME","0","X-bikes B","NT","","","Antioquia","CLUB LOS PASKINES",""
"NT","7","Luis Carlos III SARMIENTO CARVAJAL","0","X-bikes B","NT","","","Bogotá D.C.","Xspeed Racing",""
