"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","714","Oscar Alejandro RUIZ RESTREPO","150 cc Master","Antioquia","CLUB LOS PASKINES","Yamaha","1:19.621","1","","",""
"2","204","Andres Felipe LONDOÑO TRUJILLO","150 cc Master","Antioquia","CLUB GRILLOS RACING","Yamaha","1:22.186","1","2.565","2.565",""
"3","888","Jorge Yair BERNAL SUAREZ","150 cc Master","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:22.319","2","2.698","0.133",""
"4","690","Juan Pablo ARCILA ORTIZ","150 cc Master","","","","1:22.394","4","2.773","0.075",""
"5","119","Cesar Alfonso TELLEZ OCAMPO","150 cc Master","","","","1:22.437","2","2.816","0.043",""
"6","227","Rigo German  SALAZAR CERON","150 cc Master","QUINDIO","CLUB MONSTER GARAGE","","1:22.897","2","3.276","0.460",""
"7","722","Edwin JARAMILLO GALLEGO","150 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","1:23.512","4","3.891","0.615",""
"8","710","Alexander DIAZ CASTAÑO","150 cc Master","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:23.691","4","4.070","0.179",""
"9","78","Hugo Alexander TOVAR OSORIO","150 cc Master","Caldas","CLUB RACING PERFORMANCE","Yamaha","1:23.813","1","4.192","0.122",""
"10","451","Sebastian RUIZ PELAEZ","150 cc Master","Antioquia","CLUB LOS PASKINES","Yamaha","1:24.068","4","4.447","0.255",""
"11","928","Luis Carlos POLANCO GAMBOA","150 cc Master","Huila","CLUB MOTO JAPONESA","Yamaha","1:25.553","2","5.932","1.485",""
"12","169","Hoover Alberto ORTIZ OSORIO","150 cc Master","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","1:25.569","2","5.948","0.016",""
"13","286","Pedro Reynell BARAJAS BARRIOS","150 cc Master","Tolima","CLUB PISTON RACING","Yamaha","1:27.234","2","7.613","1.665",""
"14","106","Jose Wilson SAAVEDRA BARRERA","150 cc Master","Antioquia","","","1:28.343","2","8.722","1.109",""
"15","637","Jhon Jairo RAMIREZ VASQUEZ","150 cc Master","Antioquia","CLUB GRILLOS RACING","Yamaha","1:28.351","3","8.730","0.008",""
"16","83","Guillermo Augusto DIAZ","150 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","1:28.388","1","8.767","0.037",""
"17","617","Julio Ferney RODRIGUEZ MONTAÑA","150 cc Master","Tolima","CLUB PISTON RACING","Yamaha","1:29.515","1","9.894","1.127",""
"18","27","Lisandro VASQUEZ RAMIREZ","150 cc Master","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:33.081","1","13.460","3.566",""
"19","317","Andrés Parmenio MORENO ZARATE","150 cc Master","Putumayo","CLUB EXTREME RACING","Yamaha","1:33.733","3","14.112","0.652",""
"20","460","Alvaro TAMAYO MEDINA","150 cc Master","Tolima","CLUB MOTORBIKE","Yamaha","","0","","",""
"21","165","Jhon Fredy GUTIERREZ MOTOYA","150 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","","0","","",""
"22","769","Juan Carlos BUILES MARIN","150 cc Master","Antioquia","CLUB GRILLOS RACING","Yamaha","","0","","",""
"23","935","Carlos Alberto RAMIREZ JIMENEZ","150 cc Master","Caldas","CLUB MX PRO","Yamaha","","0","","",""
