"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","200 cc 2T A/A","Caldas","CLUB JHC RACING","Yamaha","1:17.303","2","","",""
"2","714","Oscar Alejandro RUIZ RESTREPO","200 cc 2T A/A","Antioquia","CLUB LOS PASKINES","Yamaha","1:17.370","2","0.067","0.067",""
"3","222-E","Jeisson David Lamilla","200 cc 2T A/A","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:17.910","2","0.607","0.540",""
"4","207","David Alejandro FORERO ZAPATA","200 cc 2T A/A","Putumayo","TEAM RACING MOCOA","Yamaha","1:17.920","3","0.617","0.010",""
"5","166","Johan Camilo GIRALDO RAMIREZ","200 cc 2T A/A","Quindío","CLUB MONSTER GARAGE","Yamaha","1:18.220","3","0.917","0.300",""
"6","41","Nicolas DUQUE PATIÑO","200 cc 2T A/A","Meta","VILLAVICENCIO RACING CLUB","Honda","1:18.312","2","1.009","0.092",""
"7","28","Jose Miguel GONZALEZ HERNANDEZ","200 cc 2T A/A","Quindio","","","1:18.570","3","1.267","0.258",""
"8","155","Juan Felipe HERNANDEZ ALZATE","200 cc 2T A/A","Meta","CLUB LLANEROS RANCING","Yamaha","1:18.848","1","1.545","0.278",""
"9","243","David Fernando BURBANO GOMEZ","200 cc 2T A/A","Putumayo","TEAM RACING MOCOA","Yamaha","1:19.343","5","2.040","0.495",""
"10","813","Juan Felipe SIERRA OSORIO","200 cc 2T A/A","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:19.471","2","2.168","0.128",""
"11","528","Juan Andres MARIN ARANGO","200 cc 2T A/A","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:19.577","2","2.274","0.106",""
"12","17","Cristian Camilo VASQUEZ POSADA","200 cc 2T A/A","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:19.655","1","2.352","0.078",""
"13","828","Danny Williams SUAREZ BEDOYA","200 cc 2T A/A","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:19.757","2","2.454","0.102",""
"14","745","Jeronimo HENAO MARIN","200 cc 2T A/A","Cauca","","","1:19.882","5","2.579","0.125",""
"15","88","Gerardo camilo TORRES","200 cc 2T A/A","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","1:20.444","2","3.141","0.562",""
