"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","931","Cesar Augusto VALDIVIESO VARGAS","CRS Expertos","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:23.596","2","","",""
"2","498","Maicol Andres VELASCO ROJAS","CRS Expertos","TOLIMA","","","1:24.265","3","0.669","0.669",""
"3","417","Christian David CHAVARRO GALVIS","CRS Expertos","Tolima","CLUB RADICAL RACING TEAM","Bajaj","1:24.338","3","0.742","0.073",""
"4","881","Jefferson Daniel CONTRERAS PINILLA","CRS Expertos","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:24.389","3","0.793","0.051",""
"5","734","Jefferson Camilo RODRIGUEZ MUÑOZ","CRS Expertos","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:24.674","3","1.078","0.285",""
"6","528","Juan Andres MARIN ARANGO","CRS Expertos","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:24.683","3","1.087","0.009",""
"7","442","Juan Esteban MUÑOZ MORALES","CRS Expertos","Bogotá D.C.","Racing pilots Academy","Bajaj","1:24.689","3","1.093","0.006",""
"8","367","Johon Alexsander FARFAN CRISTANCHO","CRS Expertos","Tolima","CLUB PISTON RACING","Bajaj","1:24.849","3","1.253","0.160",""
"9","370","Cristian David CRUZ ACOSTA","CRS Expertos","Tolima","CLUB PISTON RACING","Bajaj","1:24.952","3","1.356","0.103",""
"10","46","Maria Paula ARIAS MEDINA","CRS Expertos","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Bajaj","1:24.990","3","1.394","0.038",""
"11","100","Daniel Santiago GARCIA MARTINEZ","CRS Expertos","Tolima","CLUB PISTON RACING","Bajaj","1:25.031","3","1.435","0.041",""
"12","21","Yefry Alexis VANEGAS GIRALDO","CRS Expertos","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","TVS","1:25.186","5","1.590","0.155",""
"13","985","Juan Carlos SANCHEZ RAMIREZ","CRS Expertos","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:25.220","4","1.624","0.034",""
"14","801","Oscar David MURIEL RAMOS","CRS Expertos","Putumayo","CLUB EXTREME RACING","TVS","1:25.337","4","1.741","0.117",""
"15","538","Christian Anderson ROZO MENESES","CRS Expertos","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:25.408","3","1.812","0.071",""
"16","472","Cristian Leonardo RINCON ORTIZ","CRS Expertos","Bogotá D.C.","Todo terreno track","Bajaj","1:25.437","5","1.841","0.029",""
"17","526","Henry Wilson TORRES HERNANDEZ","CRS Expertos","Tolima","CLUB PISTON RACING","Bajaj","1:25.455","4","1.859","0.018",""
"18","314","Andres Felipe GONZALEZ CIFUENTES","CRS Expertos","Meta","SUTA RACING CLUB","Bajaj","1:25.484","4","1.888","0.029",""
"19","824","Jean Claude MURCIA CHAPETON","CRS Expertos","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:25.938","2","2.342","0.454",""
"20","980","Andres Felipe RUBIANO NARANJO","CRS Expertos","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:26.001","3","2.405","0.063",""
"21","408","David Gerardo BETANCOURTH PABON","CRS Expertos","Bogotá D.C.","Todo terreno track","GasGas","1:26.005","3","2.409","0.004",""
"22","24","Juan Sebastian ROJAS MONROY","CRS Expertos","Tolima","CLUB PISTON RACING","Bajaj","1:26.196","3","2.600","0.191",""
"23","474","Carlos Andres MOLINA PELAEZ","CRS Expertos","Antioquia","CLUB MOTOCROSS YARUMAL","Bajaj","1:26.244","3","2.648","0.048",""
"24","590","Giovanni Andres AREVALO SALCEDO","CRS Expertos","Bogotá D.C.","Todo terreno track","Bajaj","1:26.429","3","2.833","0.185",""
"25","140","Luis Felipe NUÑEZ HERNANDEZ","CRS Expertos","Huila","CLUB MOTO JAPONESA","Bajaj","1:26.513","3","2.917","0.084",""
"26","743","Alvaro CANO POVEDA","CRS Expertos","Antioquia","","","1:26.763","3","3.167","0.250",""
"27","890","Jhonatan David SANCHEZ SANCHEZ","CRS Expertos","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:26.899","4","3.303","0.136",""
"28","196","Carlos Eduardo FARIAS ACERO","CRS Expertos","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:26.905","4","3.309","0.006",""
