"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","468","Christian CAJICA","Cuatrimotard","Bogotá D.C.","Racing pilots Academy","Honda","1:08.980","6","","",""
"2","527","David Alejandro FRANCO OROZCO","CUATRIMOTARD","Antioquia","STUNT FIVE","Suzuki","1:10.285","2","1.305","1.305",""
"3","230","Juan David MUÑOZ RESTREPO","CUATRIMOTARD","Antioquia","CLUB GRILLOS RACING","Yamaha","1:11.174","2","2.194","0.889",""
"4","143","Jorge Enrique ESPINOSA ROMERO","CUATRIMOTARD","Bogotá D.C.","Racing pilots Academy","Honda","1:13.116","4","4.136","1.942",""
"5","437","Julián Enrique GONZALEZ ALFONSO","CUATRIMOTARD","Antioquia","CLUB MOTOCROSS YARUMAL","Suzuki","1:17.057","4","8.077","3.941",""
"6","804-E","Gustavo PINZON CASTILLO","CUATRIMOTARD","Bogotá D.C.","Todo terreno track","Yamaha","1:18.630","4","9.650","1.573",""
"7","192","Juan Sebastian MEDINA ACEVEDO","CUATRIMOTARD","Antioquia","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:20.351","2","11.371","1.721",""
"8","990","Brayan Andrés CANRO CONTRERAS","CUATRIMOTARD","Bogotá D.C.","Racing pilots Academy","Yamaha","1:23.268","3","14.288","2.917",""
"9","575","Carlos Enrique GONZALEZ MORA","CUATRIMOTARD","Antioquia","CLUB MOTOCROSS YARUMAL","Honda","1:27.407","1","18.427","4.139",""
"10","778","Jhonatan Stevens IDAGARRA LOPEZ","CUATRIMOTARD","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","Yamaha","1:39.323","1","30.343","11.916",""
"11","6","Mauricio RUIZ ANGEL","CUATRIMOTARD","Antioquia","STUNT FIVE","Yamaha","","0","","",""
