"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","46","Maria Paula ARIAS MEDINA","Femenina","META","CLUB DE MOTOCICLISMO SANTIHC 146","","1:26.275","4","","",""
"2","156","Karen Tatiana REYES LAMPREA","Femenina","Racing pilots Academy","Racing pilots Academy","Bajaj","1:27.277","3","1.002","1.002",""
"3","546","Katherin TORO FORERO","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:27.671","3","1.396","0.394",""
"4","572","Valeria MUÑOZ MORALES","Femenina","Racing pilots Academy","Racing pilots Academy","Bajaj","1:28.689","5","2.414","1.018",""
"5","525","Angie Daniela SANTAMARIA MARIN","Femenina","CLUB DEPORTIVO SANTANDER MAX EXTREMO","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Bajaj","1:28.736","4","2.461","0.047",""
"6","290","Daniela TRIANA GIL","Femenina","Racing pilots Academy","Racing pilots Academy","Bajaj","1:29.231","4","2.956","0.495",""
"7","371","Edna Lizeth ESCOBAR CORTES","Femenina","CLUB IGUANA RACING GIRARDOT","CLUB IGUANA RACING GIRARDOT","Bajaj","1:29.375","2","3.100","0.144",""
"8","591","Paula Fernanda PEÑA HERNANDEZ","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:29.573","2","3.298","0.198",""
"9","236","Andrea MUÑOZ MELO","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:30.487","5","4.212","0.914",""
"10","162-E","Leonela Fernanda BURITICA RODRIGUEZ","Femenina","CLUB CORONA CLUB XTREME PARK","CLUB CORONA CLUB XTREME PARK","Bajaj","1:31.022","5","4.747","0.535",""
"11","678","Lizeth Johanna CARVAJALINO VASQUEZ","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:31.039","4","4.764","0.017",""
"12","253","Nicolle Vanessa DIAZ LOPEZ","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:31.405","5","5.130","0.366",""
"13","399","Angela Yiseth OTERO BECERRA","Femenina","LISTO PILOTO","LISTO PILOTO","Bajaj","1:31.839","3","5.564","0.434",""
"14","868","Liz Dayana LUNA GUTIERREZ","Femenina","CLUB GIRARDOT RACING","CLUB GIRARDOT RACING","Bajaj","1:32.004","4","5.729","0.165",""
"15","306","Natalia CORREDOR CRISTANCHO","Femenina","CLUB IGUANA RACING GIRARDOT","CLUB IGUANA RACING GIRARDOT","Bajaj","1:32.329","3","6.054","0.325",""
"16","997","Laura Camila CASTAÑO VASQUEZ","Femenina","CLUB GIRARDOT RACING","CLUB GIRARDOT RACING","Bajaj","1:32.957","2","6.682","0.628",""
"17","505-E","Miranda Valentina LA ROSA ACOSTA","Femenina","Todo terreno track","Todo terreno track","Bajaj","1:33.187","2","6.912","0.230",""
"18","271","Paula Andrea URREGO ARIAS","Femenina","CLUB GIRARDOT RACING","CLUB GIRARDOT RACING","Bajaj","1:33.892","4","7.617","0.705",""
"19","376","Laura Sabhina FRANCO GONZALEZ","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:34.080","4","7.805","0.188",""
"20","974","Angie Carolina MUJICA PAEZ","Femenina","CLUB MONSTER GARAGE","CLUB MONSTER GARAGE","Bajaj","1:34.505","4","8.230","0.425",""
"21","225","Laura Sofia BARRERA ACUÑA","Femenina","LISTO PILOTO","LISTO PILOTO","Bajaj","1:34.715","1","8.440","0.210",""
"22","916","Laura Sofía BARAHONA PORRAS","Femenina","Racing pilots Academy","Racing pilots Academy","Bajaj","1:34.750","4","8.475","0.035",""
"23","405","Erika Milena OVALLE OCHOA","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:35.268","2","8.993","0.518",""
"24","247","Angie Valentina BAYONA RODRIGUEZ","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:35.293","3","9.018","0.025",""
"25","446","Diana Katherine PEÑA VILLALBA","Femenina","Todo terreno track","Todo terreno track","Yamaha","1:35.734","3","9.459","0.441",""
"26","58","Maroly Nicole BASABE","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:36.068","3","9.793","0.334",""
"27","416","Karen Juliana PRIETO SANABRIA","Femenina","CLUB GIRARDOT RACING","CLUB GIRARDOT RACING","Bajaj","1:37.676","3","11.401","1.608",""
"28","298","Yury Alejandra GOMEZ GIL","Femenina","CLUB IGUANA RACING GIRARDOT","CLUB IGUANA RACING GIRARDOT","Bajaj","1:38.171","4","11.896","0.495",""
"29","318","Manuela MORENO ESPINEL","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:38.601","4","12.326","0.430",""
"30","856","Angie Lorena LOPEZ GUEVARA","Femenina","CLUB GIRARDOT RACING","CLUB GIRARDOT RACING","Bajaj","1:39.490","3","13.215","0.889",""
"31","529","Maria Fernanda JIMENEZ VILLALBA","Femenina","CLUB PISTON RACING","CLUB PISTON RACING","Bajaj","1:41.014","4","14.739","1.524",""
"32","762","Valeria ALVAREZ ALZATE","Femenina","CLUB GIRARDOT RACING","CLUB GIRARDOT RACING","Bajaj","1:41.039","2","14.764","0.025",""
"33","902","Nicolle Tatiana FARIETA MESA","Femenina","CLUB GIRARDOT RACING","CLUB GIRARDOT RACING","Bajaj","1:41.567","2","15.292","0.528",""
"34","516","Erika Catherine TRUJILLO LÓPEZ","Femenina","Todo terreno track","Todo terreno track","Bajaj","1:47.305","3","21.030","5.738",""
"35","143-E","Luz Enith ALZATE VANEGAS","Femenina","CLUB ANTIOQUIA 2 RUEDAS RACER","CLUB ANTIOQUIA 2 RUEDAS RACER","Bajaj","","0","","",""
"36","777","MARÍA JULIANA DOSMAN AGUIRRE","Femenina","MOTOCLUB TRAVESURAS","MOTOCLUB TRAVESURAS","Bajaj","","0","","",""
