"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","28","Jose Miguel GONZALEZ HERNANDEZ","Minimotard","Quindío","","","1:02.443","5","","",""
"2","721","Juan Andres RODRIGUEZ ARIAS","Minimotard","Caldas","CLUB MX PRO","Honda","1:02.463","4","0.020","0.020",""
"3","726","Nicolas MILLAN MURILLO","Minimotard","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:02.867","6","0.424","0.404",""
"4","223","Daniel DUQUE","Minimotard","Antioquia","CLUB LOS PASKINES","Honda","1:03.650","7","1.207","0.783",""
"5","133","Sergio Leon RESTREPO MEJIA","Minimotard","Antioquia","CLUB LOS PASKINES","Honda","1:03.873","4","1.430","0.223",""
"6","444","David Stevens RESTREPO MEJÍA","Minimotard","ANTIOQUIA","","","1:04.076","3","1.633","0.203",""
"7","189","Luis Felipe PALOMINO MEJIA","Minimotard","Tolima","CLUB PISTON RACING","Husqvarna","1:04.453","2","2.010","0.377",""
"8","790","Juan Gerardo ALBARAN HINCAPIE","Minimotard","Antioquia","CLUB LOS PASKINES","Honda","1:04.738","3","2.295","0.285",""
"9","301","Juan Pablo ANGEL BECERRA","Minimotard","Cesar","K-LIMA RACING","Husqvarna","1:04.751","3","2.308","0.013",""
"10","474","Carlos Andres MOLINA PELAEZ","Minimotard","Antioquia","CLUB MOTOCROSS YARUMAL","Honda","1:04.948","4","2.505","0.197",""
"11","155","Juan Felipe HERNANDEZ ALZATE","Minimotard","Meta","CLUB LLANEROS RANCING","Yamaha","1:05.543","1","3.100","0.595",""
"12","668","Santiago Marcelo CARDONA GIRALDO","Minimotard","Caldas","CLUB RACING PERFORMANCE","Honda","1:06.574","6","4.131","1.031",""
"13","126","Alejandro GARCIA CARVAJAL","Minimotard","Caldas","CLUB RACING PERFORMANCE","Honda","1:08.194","6","5.751","1.620",""
"14","50","Jorge Andrés ORTEGON CHACON","Minimotard","Tolima","GR 522 RACING","Honda","1:08.488","4","6.045","0.294",""
"15","59","Carlos Andres URREA HENAO","Minimotard","Antioquia","CLUB GRILLOS RACING","Yamaha","1:08.651","3","6.208","0.163",""
"16","922","Sebastian OSORIO GIRALDO","Minimotard","Caldas","CLUB RACING PERFORMANCE","Honda","1:09.403","3","6.960","0.752",""
"17","151","Juan Pablo JARAMILLO OCAMPO","Minimotard","Antioquia","CLUB LOS PASKINES","Honda","1:09.524","6","7.081","0.121",""
"18","268","Esteban ARREDONDO ESCOBAR","Minimotard","Caldas","CLUB RACING PERFORMANCE","Honda","1:09.670","4","7.227","0.146",""
"19","375","Wilderman RAMIREZ","Minimotard","Antioquia","CLUB GRILLOS RACING","Kawasaki","","0","","",""
"20","535","Santiago LONDOÑO CALLE","Minimotard","Antioquia","CLUB LOS PASKINES","Honda","","0","","",""
"21","631","Johan GOMEZ PEREZ","Minimotard","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","","0","","",""
"22","681","Andres Felipe RESTREPO CASTRILLON","Minimotard","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","","0","","",""
