"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","12","Tomas PUERTA VASQUEZ","Super bike","Antioquia","CLUB LOS PASKINES","Honda","1:10.224","4","","",""
"2","189","Luis Felipe PALOMINO MEJIA","Super bike","Tolima","","","1:11.051","2","0.827","0.827",""
"3","931","Cesar Augusto VALDIVIESO VARGAS","Super bike","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:11.393","6","1.169","0.342",""
"4","716","Jesus Aurelio BURGOS TORRES","Super bike","Bogotá D.C.","Todo terreno track","Aprilia","1:11.589","2","1.365","0.196",""
"5","728","Luis Felipe ARREDONDO GIRALDO","Super bike","Antioquia","CLUB LOS PASKINES","Yamaha","1:11.682","3","1.458","0.093",""
"6","73","Richard Edward MENJURA MACIAS","Super bike","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","BMW","1:11.890","2","1.666","0.208",""
"7","97","Edinson Esteban RONCERIA SILVA","Super bike","Bogotá D.C.","Todo terreno track","GasGas","1:12.126","6","1.902","0.236",""
"8","11","Juan Esteban RAMIREZ GOMEZ","Super bike","Antioquia","CLUB MOTOCROSS YARUMAL","BMW","1:12.193","4","1.969","0.067",""
"9","40","Santiago ALZATE GOMEZ","Super bike","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","BMW","1:12.531","4","2.307","0.338",""
"10","87","gerson caleb serrano daza","Super bike","Bogotá D.C.","Todo terreno track","Ducati","1:12.629","4","2.405","0.098",""
"11","909","Javier ARIAS CASTAÑEDA","Super bike","Antioquia","CLUB LOS PASKINES","BMW","1:13.374","3","3.150","0.745",""
"12","984","Jhon Javier MONSALVE MENDOZA","Super bike","Tolima","CLUB PISTON RACING","BMW","1:14.564","4","4.340","1.190",""
"13","13","Angelo Mauricio BONILLA ZAPATA","Super bike","Bogotá D.C.","Racing pilots Academy","Honda","1:14.723","3","4.499","0.159",""
"14","779","Rafael Andrés ROJAS IBAÑEZ","Super bike","Bogotá D.C.","Todo terreno track","Ducati","1:16.263","4","6.039","1.540",""
"15","630","Herman Andres MANTILLA NUÑEZ","Super bike","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Suzuki","1:17.076","2","6.852","0.813",""
"16","496","Nicolas BERMUDEZ CASTILLO","Super bike","Bogotá D.C.","Racing pilots Academy","Aprilia","1:19.912","2","9.688","2.836",""
"17","869","Mario Andres GONZALEZ GOMEZ","Super bike","VALLE DEL CAUCA","","","1:21.309","4","11.085","1.397",""
"18","272","Alfonso Gustavo LINARES OCHOA","Super bike","Bogotá D.C.","Todo terreno track","Ducati","","0","","",""
"19","248","Juan David ORTEGA PATIÑO","Super bike","Nariño","MOTOCLUB TANGUA RACING","Yamaha","","0","","",""
