"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","628","Oliver MUÑOZ LOPEZ","Super stock 1000","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Yamaha","1:14.807","2","","",""
"2","542","Cristian David HENAO PINTO","Super stock 600","Bogotá D.C.","Racing pilots Academy","Aprilia","1:14.976","1","0.169","0.169",""
"3","366","Santiago ARBELAEZ LUNA","Super stock 600","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Kawasaki","1:14.982","4","0.175","0.006",""
"4","67","Jhonny RADA","Super stock 1000","Bogotá D.C.","Todo terreno track","Suzuki","1:15.517","2","0.710","0.535",""
"5","897","Octavio VELEZ GAVIRIA","Super stock 600","Antioquia","Club Deportivo Terras de San Marinno","Yamaha","1:15.592","3","0.785","0.075",""
"6","141","William MONCADA SEPULVEDA","Super stock 600","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Triumph","1:15.796","3","0.989","0.204",""
"7","703","Mauro Ferney GALLO FONSECA","Super stock 1000","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Ducati","1:15.867","5","1.060","0.071",""
"8","779","Rafael Andrés ROJAS IBAÑEZ","Super stock 1000","Bogotá D.C.","Todo terreno track","Ducati","1:15.954","4","1.147","0.087",""
"9","293","Fenky Jhoan INFANTE CARMONA","Super stock 1000","Bogotá D.C.","Racing pilots Academy","BMW","1:16.127","2","1.320","0.173",""
"10","484","Jonattan HERNANDEZ MURCIA","Super stock 600","Bogotá D.C.","Xspeed Racing","Aprilia","1:16.286","1","1.479","0.159",""
"11","191","Santiago MARTINEZ ZULUAGA","Super stock 600","Caldas","CLUB RACING PERFORMANCE","Ducati","1:16.454","5","1.647","0.168",""
"12","244","Andrés Felipe ALDANA JARAMILLO","Super stock 1000","Quindío","CLUB MONSTER GARAGE","Yamaha","1:16.502","2","1.695","0.048",""
"13","131","Christian Andres RUBIO PARDO","Super stock 1000","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Kawasaki","1:16.663","3","1.856","0.161",""
"14","46","Maria Paula ARIAS MEDINA","Super stock 1000","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Ducati","1:17.152","2","2.345","0.489",""
"15","964","Daniel Alberto CASTRO HURTADO","Super stock 1000","Bogotá D.C.","Xspeed Racing","Ducati","1:17.390","3","2.583","0.238",""
"16","698","Luis Felipe PATIÑO LOPEZ","Super stock 1000","Bogotá D.C.","Racing pilots Academy","Aprilia","1:17.447","2","2.640","0.057",""
"17","780","Julian ECHEVERRY BENITEZ","Super stock 1000","Antioquia","CLUB GRILLOS RACING","Yamaha","1:17.502","2","2.695","0.055",""
"18","126","Alejandro GARCIA CARVAJAL","Super stock 600","Caldas","CLUB RACING PERFORMANCE","Yamaha","1:17.894","2","3.087","0.392",""
"19","879","Sergio David PACHÓN GARZÓN","Super stock 1000","Bogotá D.C.","Racing pilots Academy","Aprilia","1:18.602","1","3.795","0.708",""
"20","940","Jhosswa Norvey RESTREPO LIBREROS","Super stock 600","Cundinamarca","CLUB GIRARDOT RACING","Aprilia","1:18.803","3","3.996","0.201",""
"21","930","George Michael HERRERA TRUJILLO","Super stock 1000","Quindío","CLUB DISCOVER QUINDIO","BMW","1:18.947","3","4.140","0.144",""
"22","558","Fabian Yesid SANABRIA ZEA","Super stock 1000","Bogotá D.C.","Racing pilots Academy","Kawasaki","1:19.300","4","4.493","0.353",""
"23","15","Jhon Alexander GOMEZ QUIROGA","Super stock 1000","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Kawasaki","1:19.332","4","4.525","0.032",""
"24","37","Juan Camilo VEGA RAMIREZ","Super stock 1000","Tolima","CLUB PISTON RACING","BMW","1:19.463","2","4.656","0.131",""
"25","79","Gustavo Adolfo ZAPATA VANEGAS","Super stock 1000","Caldas","CLUB RACING PERFORMANCE","BMW","1:19.530","3","4.723","0.067",""
"26","197","Jack Sebastian MURILLO SALAMANCA","Super stock 600","Cundinamarca","CLUB GIRARDOT RACING","Aprilia","1:21.812","3","7.005","2.282",""
"27","330","Mauricio VIEIRA SOTO","Super stock 600","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Honda","1:22.119","2","7.312","0.307",""
"28","336","Dário Sebástian SA MAGALHAES MICUCCI","Super stock 600","Bogotá D.C.","Todo terreno track","Ducati","1:22.167","4","7.360","0.048",""
"29","66-E","José Alejandro CARREÑO ZULUAGA","Super stock 1000","Tolima","CLUB COYOLA RACING TEAM","BMW","1:22.638","2","7.831","0.471",""
"30","280","Christian David POSADA GONZALEZ","Super stock 1000","","","HONDA","1:25.241","3","10.434","2.603",""
"31","869","Mario Andres GONZALEZ GOMEZ","Super stock 600","","","","1:30.423","5","15.616","5.182",""
"32","248","Juan David ORTEGA PATIÑO","Super stock 1000","Nariño","MOTOCLUB TANGUA RACING","Yamaha","","0","","",""
"33","366","Santiago Arbelaez Luna","Super stock 600","","","","","0","","",""
"34","496","Nicolas BERMUDEZ CASTILLO","Super stock 1000","Bogotá D.C.","Racing pilots Academy","Aprilia","","0","","",""
