"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","SM expertos - Metzeler","Quindío","CLUB MONSTER GARAGE","","55.722","3","","",""
"2","726","Nicolas MILLAN MURILLO","SM expertos - Metzeler","Cauca","CLUB CORONA CLUB XTREME PARK","","55.868","6","0.146","0.146",""
"3","28","Jose Miguel GONZALEZ HERNANDEZ","SM expertos - Metzeler","Quindío","CLUB MONSTER GARAGE","","55.980","6","0.258","0.112",""
"4","272","Alfonso Gustavo LINARES OCHOA","SM expertos - Metzeler","Bogotá D.C.","Todo terreno track","","56.171","6","0.449","0.094",""
"5","243","David Fernando BURBANO GOMEZ","SM expertos - Metzeler","Putumayo","TEAM RACING MOCOA","","56.077","6","0.355","0.097","BEN. SALIDA PISTA"
"6","98","Mateo CASTELLANOS CARVAJAL","SM expertos - Metzeler","Caldas","CLUB JHC RACING","","56.196","3","0.474","0.025",""
"7","119","Cesar Alfonso TELLEZ OCAMPO","SM expertos - Metzeler","Santander","CLUB FLORIDA EXTREMO","","56.249","6","0.527","0.053",""
"8","59","Carlos Andres Urrea Henao","SM expertos - Metzeler","Antioquia","CLUB GRILLOS RACING","","56.423","6","0.701","0.174",""
"9","41","Nicolas DUQUE PATIÑO","SM expertos - Metzeler","Meta","VILLAVICENCIO RACING CLUB","","56.530","1","0.808","0.107",""
"10","931","Cesar Augusto VALDIVIESO VARGAS","SM expertos - Metzeler","Cundinamarca","CLUB GIRARDOT RACING","","56.542","5","0.820","0.012",""
"11","189","Luis Felipe PALOMINO MEJIA","SM expertos - Metzeler","Tolima","CLUB PISTON RACING","","56.545","2","0.823","0.003",""
"12","721","Juan Andres RODRIGUEZ ARIAS","SM expertos - Metzeler","Caldas","CLUB MX PRO","","56.621","5","0.899","0.076",""
"13","155","Juan Felipe HERNANDEZ ALZATE","SM expertos - Metzeler","Meta","CLUB LLANEROS RANCING","","56.952","3","1.230","0.331",""
"14","52","Edgar Andres JARAMILLO GOMEZ","SM expertos - Metzeler","Antioquia","CLUB MOTOCROSS YARUMAL","","57.103","6","1.381","0.151",""
"15","444","David Stevens RESTREPO MEJÍA","SM expertos - Metzeler","Antioquia","CLUB LOS PASKINES","","58.649","6","2.927","1.546",""
"16","48","David GIRALDO BETANCUR","SM expertos - Metzeler","Antioquia","Club Deportivo Terras de San Marinno","","59.093","6","3.371","0.444",""
"17","375","Wilderman RAMIREZ","SM expertos - Metzeler","Antioquia","CLUB GRILLOS RACING","","59.146","6","3.424","0.053",""
"18","204","Andres Felipe LONDOÑO TRUJILLO","SM expertos - Metzeler","Antioquia","CLUB GRILLOS RACING","","59.330","1","3.608","0.184",""
"19","17","Cristian Camilo VASQUEZ POSADA","SM expertos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","","0","","",""
"20","314","ACERCARSE A SECRETARIA","","","","","","0","","",""
