"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","928","Luis Carlos POLANCO GAMBOA","SM novatos - Metzeler","Huila","CLUB MOTO JAPONESA","Husqvarna","59.191","8","","",""
"2","387","Germán Darío OLAYA CACERES","SM novatos - Metzeler","Tolima","CLUB COYOLA RACING TEAM","Husqvarna","59.360","5","0.169","0.169",""
"3","207","David Alejandro FORERO ZAPATA","SM novatos - Metzeler","Putumayo","TEAM RACING MOCOA","Husqvarna","59.362","5","0.171","0.002",""
"4","160","Jose Angel MORENO VARON","SM novatos - Metzeler","Tolima","CLUB MOTORBIKE","Husqvarna","59.365","9","0.174","0.003",""
"5","909","Javier ARIAS CASTAÑEDA","SM novatos - Metzeler","Antioquia","CLUB LOS PASKINES","KTM","59.418","5","0.227","0.053",""
"6","683","Brayan Smith LEAL ARIAS","SM novatos - Metzeler","Tolima","CLUB PISTON RACING","Husqvarna","59.682","6","0.491","0.264",""
"7","144","John Andrés VIVAS VARON","SM novatos - Metzeler","Valle del Cauca","Dos Ruedas Racing Team","Husqvarna","1:00.431","5","1.240","0.749",""
"8","50","Jorge Andrés ORTEGON CHACON","SM novatos - Metzeler","Tolima","GR 522 RACING","Husqvarna","1:00.622","5","1.431","0.191",""
"9","314","Andres Felipe GONZALEZ CIFUENTES","SM novatos - Metzeler","Meta","SUTA RACING CLUB","KTM","1:00.633","7","1.442","0.011",""
"10","343","Juan Pablo BURBANO GOMEZ","SM novatos - Metzeler","Putumayo","TEAM RACING MOCOA","Husqvarna","1:00.701","5","1.510","0.068",""
"11","81","Juan Pablo RUIZ ALVAREZ","SM novatos - Metzeler","Tolima","GR 522 RACING","Husqvarna","1:00.896","7","1.705","0.195",""
"12","889","Gustavo Adolfo RUGELES URBINA","SM novatos - Metzeler","Bogotá D.C.","Racing pilots Academy","KTM","1:00.980","2","1.789","0.084",""
"13","938","Luis Alejandro BALLEN CORTES","SM novatos - Metzeler","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","1:01.548","4","2.357","0.568",""
"14","596","Juan David PIEDRAHITA PINEDA","SM novatos - Metzeler","Quindío","CLUB MONSTER GARAGE","Husqvarna","1:01.704","7","2.513","0.156",""
"15","995-E","Gerardo GOMEZ ARCE","SM novatos - Metzeler","Costa Rica","Club BOGOTA","Husqvarna","1:01.881","5","2.690","0.177",""
"16","249","Ricardo ORTEGON GUZMAN","SM novatos - Metzeler","Tolima","CLUB BUNDE ESPINAL","Husqvarna","1:02.079","8","2.888","0.198",""
"17","751","Daniel ARCILA MAYA","SM novatos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","1:02.150","8","2.959","0.071",""
"18","631","Johan GOMEZ PEREZ","SM novatos - Metzeler","QUINDIO","","","1:02.290","8","3.099","0.140",""
"19","837","Andrei Ricardo LOPEZ LEON","SM novatos - Metzeler","Bogotá D.C.","Todo terreno track","Husqvarna","1:02.292","8","3.101","0.002",""
"20","330","Mauricio VIEIRA SOTO","SM novatos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Honda","1:02.741","8","3.550","0.449",""
"21","85","Yesid ESPITIA CIFUENTES","SM novatos - Metzeler","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","1:03.105","6","3.914","0.364",""
"22","151","Juan Pablo JARAMILLO OCAMPO","SM novatos - Metzeler","Antioquia","CLUB LOS PASKINES","Honda","1:03.264","6","4.073","0.159",""
"23","697","Jose Armando BARBOSA ESCOBAR","SM novatos - Metzeler","Cesar","K-LIMA RACING","Husqvarna","1:03.918","8","4.727","0.654",""
"24","607","Michael Stevens CADENA PINEDA","SM novatos - Metzeler","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","1:03.964","4","4.773","0.046",""
"25","27","Lisandro VASQUEZ RAMIREZ","SM novatos - Metzeler","Valle del Cauca","","","1:04.064","8","4.873","0.100",""
"26","727","Diego René CAÑON CANTOR","SM novatos - Metzeler","Cundinamarca","MOTO CLUB MRACING LA VEGA","KTM","1:04.410","5","5.219","0.346",""
"27","132","Juan Sebastian BUITRAGO CHAVES","SM novatos - Metzeler","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","1:04.545","5","5.354","0.135",""
"28","799","Michael Samuel SARMIENTO PEDREROS","SM novatos - Metzeler","Tolima","CLUB MOTORBIKE","Honda","1:04.645","4","5.454","0.100",""
"29","492","Richard QUEZADA QUINTERO","SM novatos - Metzeler","Quindío","CLUB MONSTER GARAGE","Husqvarna","1:04.724","8","5.533","0.079",""
"30","53","Adrian Arlex GUERRERO FERNANDEZ","SM novatos - Metzeler","Tolima","GR 522 RACING","Husqvarna","1:10.097","2","10.906","5.373",""
"31","248","Juan David ORTEGA PATIÑO","SM novatos - Metzeler","Nariño","MOTOCLUB TANGUA RACING","KTM","","0","","",""
