"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","387","Germán Darío Olaya caseres","SM novatos - Metzeler","Tolima","CLUB COLOYA RACING TEAM","","59.093","8","","",""
"2","928","Luis Carlos POLANCO GAMBOA","SM novatos - Metzeler","Huila","CLUB MOTO JAPONESA","","59.123","7","0.030","0.030",""
"3","909","ACERCARSE A SECRETARIA","SM novatos - Metzeler","","","","59.177","6","0.084","0.054",""
"4","160","Jose Angel Moreno Varon","SM novatos - Metzeler","Tolima","","","59.294","3","0.201","0.117",""
"5","207","","","","","","59.476","8","0.383","0.182",""
"6","568-E","Juan Sebastián Arango Giraldo","SM novatos - Metzeler","Antioquia","Club Deportivo Terras de San Marinno","","59.859","6","0.766","0.383",""
"7","710","Alexander Diaz","SM novatos - Metzeler","CUNDINAMARCA","","","59.875","5","0.782","0.016",""
"8","314","","","","","","1:00.089","6","0.996","0.214",""
"9","144","John Andrés VIVAS VARON","SM novatos - Metzeler","Valle del Cauca","Dos Ruedas Racing Team","","1:00.209","3","1.116","0.120",""
"10","842","Alexander DUQUE PATIÑO","SM novatos - Metzeler","Meta","VILLAVICENCIO RACING CLUB","","1:00.504","5","1.411","0.295",""
"11","19","Edwin Alfonso Ruiz","SM novatos - Metzeler","Tolima","CLUB MOTORBIKE","","1:00.549","6","1.456","0.045",""
"12","751","Daniel ARCILA MAYA","SM novatos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:00.716","4","1.623","0.167",""
"13","707","Juan Pablo PUERTA ALZATE","SM novatos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:00.781","4","1.688","0.065",""
"14","81","Juan Pablo RUIZ ALVAREZ","SM novatos - Metzeler","Tolima","GR 522 RACING","","1:00.883","7","1.790","0.102",""
"15","330","Mauricio VIEIRA SOTO","SM novatos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:00.904","6","1.811","0.021",""
"16","249","Ricardo ORTEGON GUZMAN","SM novatos - Metzeler","Tolima","CLUB BUNDE ESPINAL","","1:01.067","3","1.974","0.163",""
"17","889","Gustavo Adolfo RUGELES URBINA","SM novatos - Metzeler","Bogotá D.C.","Racing pilots Academy","","1:01.391","1","2.298","0.324",""
"18","71","Christian Restrepo Henao","SM novatos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:01.415","3","2.322","0.024",""
"19","94","Deiby Jair CORRALES RIOS","SM novatos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:02.060","6","2.967","0.645",""
"20","151","Juan Pablo JARAMILLO OCAMPO","SM novatos - Metzeler","Antioquia","CLUB LOS PASKINES","","1:02.065","3","2.972","0.005",""
"21","938","Luis Alejandro BALLEN CORTES","SM novatos - Metzeler","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1:02.466","7","3.373","0.401",""
"22","452","Hugo Mauricio ARROYAVE ARANDA","SM novatos - Metzeler","Cundinamarca","CLUB GIRARDOT RACING","","1:02.642","4","3.549","0.176",""
"23","698","Luis Felipe Patino Lopez","SM novatos - Metzeler","Bogotá D.C.","Racing pilots Academy","","1:03.642","6","4.549","1.000",""
"24","607","Michael stevens cadena Pineda","SM novatos - Metzeler","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1:03.900","5","4.807","0.258",""
"25","640","Steven Quito Rodriguez","SM novatos - Metzeler","Bogotá D.C.","Racing pilots Academy","","1:05.348","6","6.255","1.448",""
"26","492","RICHARD QUEZADA QUINTERO","SM novatos - Metzeler","Quindío","CLUB MONSTER GARAGE","","1:06.313","1","7.220","0.965",""
"27","855","Jose Daniel VARGAS GUZMAN","SM novatos - Metzeler","Tolima","CLUB PISTON RACING","","1:07.756","3","8.663","1.443",""
"28","160","Jose Angel Moreno Varon","SM novatos - Metzeler","Tolima","CLUB MOTORBIKE","","","0","","",""
"29","573","Vicente Arturo Parada Reyes","SM novatos - Metzeler","Bogotá D.C.","Todo terreno track","","","0","","",""
