"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","408","David Gerardo BETANCOURTH PABON","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Yamaha","1:12.241","3","","",""
"2","263","Henry alexander Rodriguez castillo","Suzuki GSX R/S 150","Tolima","CLUB PISTON RACING","Suzuki","1:13.169","6","0.928","0.928",""
"3","552","Samuel Esteban BERNAL CARDENAS","Suzuki GSX R/S 150","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Suzuki","1:13.832","6","1.591","0.663",""
"4","518","Alan Javier RIOS QUINTERO","Suzuki GSX R/S 150","Cesar","K-LIMA RACING","Suzuki","1:13.893","3","1.652","0.061",""
"5","925","JUAN FELIPE ARANA REY","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:13.918","4","1.677","0.025",""
"6","259","Cristian Leonardo HERRERA ALVAREZ","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:13.961","5","1.720","0.043",""
"7","130","Keller Andres FARFAN BENAVIDES","Suzuki GSX R/S 150","Tolima","CLUB PISTON RACING","Suzuki","1:13.974","3","1.733","0.013",""
"8","523","ANDRÉS FLÓREZ TORRES","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:14.214","5","1.973","0.240",""
"9","186","Jonathan FARFAN","Suzuki GSX R/S 150","Tolima","CLUB PISTON RACING","Suzuki","1:14.648","5","2.407","0.434",""
"10","323","Juan Jose ARREDONDO","Suzuki GSX R/S 150","Antioquia","CLUB LOS PASKINES","Suzuki","1:14.759","3","2.518","0.111",""
"11","432","Luis Alberto RODRIGUEZ PALOMINO","Suzuki GSX R/S 150","Huila","CLUB MOTO JAPONESA","Suzuki","1:14.787","6","2.546","0.028",""
"12","756","Thomas SUAREZ COCOMA","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:14.961","5","2.720","0.174",""
"13","613","Ivan Andres Celis Torres","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:15.042","6","2.801","0.081",""
"14","303","Juan felipe pineda ortiz","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:15.571","5","3.330","0.529",""
"15","413","Nilam Mateo QUIROGA HERRERA","Suzuki GSX R/S 150","Tolima","CLUB MOTORBIKE","Suzuki","1:16.411","5","4.170","0.840",""
"16","201","Juan Camilo gelvez pabon","Suzuki GSX R/S 150","Tolima","CLUB PISTON RACING","Suzuki","1:16.466","3","4.225","0.055",""
"17","706","Juan Sebastián Pinzon López","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:16.469","3","4.228","0.003",""
"18","858","Juan Camilo Bernier Castro","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:17.468","5","5.227","0.999",""
"19","666","Juan David Moná Guío","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:18.479","3","6.238","1.011",""
"20","548","Victor Alfonso ARCO RUSSI","Suzuki GSX R/S 150","Cauca","CLUB CORONA CLUB XTREME PARK","Suzuki","1:18.498","5","6.257","0.019",""
"21","351","Edison Ricardo Chaparro Pineda","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:18.967","3","6.726","0.469",""
"22","84","Jhonier Stivel Useche Niño","Suzuki GSX R/S 150","Bogotá D.C.","Club BOGOTA","Suzuki","1:19.090","5","6.849","0.123",""
"23","134","Jesús Enrique lenci Gutiérrez","Suzuki GSX R/S 150","Cundinamarca","LISTO PILOTO","Suzuki","1:19.988","6","7.747","0.898",""
"24","700","juan felipe chacon perilla","Suzuki GSX R/S 150","Cundinamarca","LISTO PILOTO","Suzuki","1:20.615","4","8.374","0.627",""
"25","574","JOAN SEBASTIAN INFANTE CORTÉS","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:20.834","4","8.593","0.219",""
"26","624","José Luis Torres Rivera","Suzuki GSX R/S 150","Cundinamarca","CLUB GIRARDOT RACING","Suzuki","1:21.350","4","9.109","0.516",""
"27","821","Karen Sofía Muñoz Sanabria","Suzuki GSX R/S 150","Bogotá D.C.","Club BOGOTA","Suzuki","1:21.679","4","9.438","0.329",""
"28","910","Jenny Paola Castro Vargas","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:21.939","4","9.698","0.260",""
"29","919","Jeann Carlos Franco avila","Suzuki GSX R/S 150","Tolima","CLUB MOTORBIKE","Suzuki","","0","","",""
