"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","408","David Gerardo  BETANCOURTH PABON","Suzuki GSX R/S 150","Bogotá D.C.","","","1:30.221","2","","",""
"2","432","Luis Alberto RODRIGUEZ PALOMINO","Suzuki GSX R/S 150","Huila","CLUB MOTO JAPONESA","Suzuki","1:31.900","5","1.679","1.679",""
"3","263","Henry alexander Rodriguez castillo","Suzuki GSX R/S 150","Tolima","CLUB PISTON RACING","Suzuki","1:32.004","3","1.783","0.104",""
"4","518","Alan Javier RIOS QUINTERO","Suzuki GSX R/S 150","Cesar","K-LIMA RACING","Suzuki","1:32.307","4","2.086","0.303",""
"5","130","Keller Andres FARFAN BENAVIDES","Suzuki GSX R/S 150","Tolima","CLUB PISTON RACING","Suzuki","1:32.363","3","2.142","0.056",""
"6","613","Ivan Andres Celis Torres","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:32.916","3","2.695","0.553",""
"7","259","Cristian Leonardo HERRERA ALVAREZ","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:33.419","4","3.198","0.503",""
"8","323","Juan Jose ARREDONDO","Suzuki GSX R/S 150","Antioquia","CLUB LOS PASKINES","Suzuki","1:33.552","3","3.331","0.133",""
"9","186","Jonathan FARFAN","Suzuki GSX R/S 150","Tolima","CLUB PISTON RACING","Suzuki","1:33.615","5","3.394","0.063",""
"10","413","Nilam Mateo QUIROGA HERRERA","Suzuki GSX R/S 150","Tolima","CLUB MOTORBIKE","Suzuki","1:33.989","2","3.768","0.374",""
"11","706","Juan Sebastián Pinzon López","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:34.228","3","4.007","0.239",""
"12","998","Jhonatan David BONEL ARIAS","Suzuki GSX R/S 150","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Suzuki","1:34.236","5","4.015","0.008",""
"13","700","juan felipe chacon perilla","Suzuki GSX R/S 150","Cundinamarca","LISTO PILOTO","Suzuki","1:34.889","2","4.668","0.653",""
"14","523","ANDRÉS FLÓREZ TORRES","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:34.925","4","4.704","0.036",""
"15","139","Cesar Steven PRIETO USGAME","Suzuki GSX R/S 150","Cauca","CLUB CORONA CLUB XTREME PARK","Suzuki","1:35.269","2","5.048","0.344",""
"16","558","fabian yesid sanabria zea","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:35.666","2","5.445","0.397",""
"17","899","Cristian David Casallas Velandia","Suzuki GSX R/S 150","Cundinamarca","LISTO PILOTO","Suzuki","1:35.905","3","5.684","0.239",""
"18","93","Jordan smith castaño celis","Suzuki GSX R/S 150","Cauca","CLUB CORONA CLUB XTREME PARK","Suzuki","1:36.346","4","6.125","0.441",""
"19","190","David correa garcia","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:36.602","4","6.381","0.256",""
"20","666","Juan David Moná Guío","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:37.970","4","7.749","1.368",""
"21","462","BRAYAN STIVEN MONTOYA ACOSTA","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:38.695","4","8.474","0.725",""
"22","84","Jhonier Stivel Useche Niño","Suzuki GSX R/S 150","Bogotá D.C.","Club BOGOTA","Suzuki","1:38.715","2","8.494","0.020",""
"23","218","David Alfonso Agredo Rodriguez","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:38.913","4","8.692","0.198",""
"24","147","Jose fernando cuevas salazar","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:39.071","4","8.850","0.158",""
"25","351","Edison Ricardo Chaparro Pineda","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:39.302","4","9.081","0.231",""
"26","565","Manuel Antonio SALAZAR DIAZ","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:39.302","4","9.081","",""
"27","303","Juan felipe pineda ortiz","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:39.770","3","9.549","0.468",""
"28","858","Juan Camilo Bernier Castro","Suzuki GSX R/S 150","Bogotá D.C.","Todo terreno track","Suzuki","1:39.820","3","9.599","0.050",""
"29","603","Diego Alejandro Rubiano Bohórquez","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:40.111","1","9.890","0.291",""
"30","925","JUAN FELIPE ARANA REY","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:40.728","3","10.507","0.617",""
"31","756","Thomas SUAREZ COCOMA","Suzuki GSX R/S 150","Bogotá D.C.","Racing pilots Academy","Suzuki","1:40.808","4","10.587","0.080",""
