"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","30","0","KTM","Putumayo","TEAM RACING MOCOA","","0","15","15"
"2","777","Euclides Antonio TORRES ROSALES","125 cc","27","3","KTM","Bogotá D.C.","Xspeed Racing","","1","13","13"
"3","222","Maximiliano RAMIREZ RESTREPO","125 cc","24","6","Yamaha","Antioquia","STUNT FIVE","","2","11","11"
"4","700","Maximiliano GUERRA ALVAREZ","125 cc","20","10","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","10","9"
"5","321","Jorge Esteban VARGAS GONZALES","125 cc","18","12","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","9","8"
"6","331","Juan Pablo CARMONA GIRALDO","125 cc","15","15","GasGas","Bogotá D.C.","Todo terreno track","","1","8","6"
"7","36-2","Thomas PINEDA GONZALEZ","125 cc","13","17","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","3","6","4"
"8","710","Juan David MENDOZA DUARTE","125 cc","11","19","Husqvarna","Meta","VILLAVICENCIO RACING CLUB","","1","0","10"
"9","281","Moises BETANCUR OCHOA","125 cc","11","19","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","3","7"
"10","210","Juan Pablo Muñoz Gómez","125 cc","11","19","Husqvarna","Cesar","K-LIMA RACING","","1","5","5"
"11","64","Jacobo GIL MARIN","125 cc","11","19","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","","1","7","3"
"12","630","Samuel Andres PINTO DUARTE","125 cc","6","24","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","4","1"
"13","213","Jhon Alexander PICON BOLAÑOS","125 cc","4","26","KTM","Cesar","VIRUS RACING","","1","1","2"
"14","221","Peter FRISH KLEVER","125 cc","3","27","GasGas","Cesar","VIRUS RACING","","1","1","1"
"15","199","Nicolas Felipe REY REY","125 cc","3","27","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1","2","0"
"16","146","Gabriel Alejandro MESA ARROYO","125 cc","2","28","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","","1","1","0"
"17","454","Mateo ALVAREZ GONZALEZ","125 cc","1","29","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","0","0","1"
"NT","114","Miguel Angel LOPEZ MARTINEZ","125 cc","0","30","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","0","0","0"
