"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","111","Martin OSPINA CUELLO","85 cc Mini","33","0","Yamaha","Bogotá D.C.","Xspeed Racing","","3","15","15"
"2","120","Matias GOMEZ ORJUELA","85 cc Mini","24","9","KTM","Bogotá D.C.","Todo terreno track","","2","11","11"
"3","413","Samuel Emilio CAMACHO PAEZ","85 cc Mini","21","12","GasGas","Bogotá D.C.","Xspeed Racing","","1","7","13"
"4","139","Valentino ZULETA CARDONA","85 cc Mini","21","12","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","13","7"
"5","420","Esteban ARCILA ACEVEDO","85 cc Mini","20","13","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","","1","9","10"
"6","626","Juan Antonio PIEDRAHITA VARELA","85 cc Mini","20","13","KTM","Risaralda","CLUB LOS GUEPARDOS","","1","10","9"
"7","888","Maximiliano YEPES ZAMORANO","85 cc Mini","17","16","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","8","8"
"8","28","Sofia ESCOBAR HINCAPIE","85 cc Mini","12","21","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","","1","5","6"
"9","35","Juan Angel MORALES GALLEGO","85 cc Mini","7","26","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","6","0"
"NT","E-98","salome henao torres","85 cc Mini","0","33","Yamaha","Antioquia","CLUB GRILLOS RACING","","0","0","0"
