"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","111","Martin OSPINA CUELLO","85 cc Junior","1:18.647","0","3","15","15"
"2","222","Maximiliano RAMIREZ RESTREPO","85 cc Junior","1:18.868","5","2","13","13"
"3","281","Moises BETANCUR OCHOA","85 cc Junior","1:23.046","10","1","11","11"
"4","626","Juan Antonio PIEDRAHITA VARELA","85 cc Junior","1:24.618","13","1","10","9"
"5","113","Tomas VERGARA ARANZAZU","85 cc Junior","1:23.637","14","1","8","10"
"6","120","Matias GOMEZ ORJUELA","85 cc Junior","1:24.327","15","1","9","8"
"7","420","Esteban ARCILA ACEVEDO","85 cc Junior","1:24.108","18","1","7","7"
"8","331","Juan Pablo CARMONA GIRALDO","85 cc Junior","1:24.484","21","1","5","6"
"9","301","Sebastian SANDOVAL VERGARA","85 cc Junior","1:26.958","22","1","6","4"
"10","413","Samuel Emilio CAMACHO PAEZ","85 cc Junior","1:24.773","23","1","4","5"
"11","762","Oscar Alejandro VALBUENA ECHEVERRI","85 cc Junior","1:30.484","27","1","2","3"
"12","388-E","SANTIAGO BASELGA BRITTO","85 cc Junior","1:31.326","27","1","3","2"
