"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","111","Martin OSPINA CUELLO","85 cc Mini","1:20.789","0","3","15","15"
"2","120","Matias GOMEZ ORJUELA","85 cc Mini","1:24.894","8","1","13","11"
"3","139","Valentino ZULETA CARDONA","85 cc Mini","1:23.711","9","1","10","13"
"4","413","Samuel Emilio CAMACHO PAEZ","85 cc Mini","1:23.795","12","2","9","10"
"5","626","Juan Antonio PIEDRAHITA VARELA","85 cc Mini","1:23.374","13","1","11","8"
"6","420","Esteban ARCILA ACEVEDO","85 cc Mini","1:24.924","15","1","8","9"
"7","888","Maximiliano YEPES ZAMORANO","85 cc Mini","1:26.632","18","1","7","7"
"8","388-E","SANTIAGO BASELGA BRITTO","85 cc Mini","1:30.888","21","1","5","6"
"9","35","Juan Angel MORALES GALLEGO","85 cc Mini","1:27.602","21","1","6","5"
"10","31","Agustin Toro Montoya","85 cc Mini","1:38.135","24","1","4","4"
"11","28","Sofia ESCOBAR HINCAPIE","85 cc Mini","1:37.053","29","1","3","0"
