"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","53","Simón RESTREPO GUZMAN","Mx Pre-expertos","1:19.816","0","3","13","15"
"2","213","Jhon Alexander PICON BOLAÑOS","Mx Pre-expertos","1:22.815","3","2","15","11"
"3","529","Esteban GONZALEZ LOPEZ","Mx Pre-expertos","1:22.559","6","1","11","13"
"4","821-E","John Fredy Hernández Osorio","Mx Pre-expertos","1:23.973","10","1","10","10"
"5","811","SEBASTIAN LOPEZ MONCAYO","Mx Pre-expertos","1:25.522","14","1","7","9"
"6","227","Leonel giraldo jaramillo","Mx Pre-expertos","1:22.368","15","1","9","6"
"7","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Mx Pre-expertos","1:28.572","17","1","5","8"
"8","29","Jeronimo PIEDRAHITA HINCAPIE","Mx Pre-expertos","1:25.949","17","1","8","5"
"9","612","Alejandro DIAZ GARCIA","Mx Pre-expertos","1:28.802","19","1","4","7"
"10","269","Jhon santiago HERNANDEZ BERMUDEZ","Mx Pre-expertos","1:27.216","20","1","6","4"
"11","454","Mateo ALVAREZ GONZALEZ","Mx Pre-expertos","1:28.273","30","1","0","0"
