"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 CC","1:22.557","0","3","15","15"
"2","114","Miguel Angel LOPEZ MARTINEZ","125 CC","1:23.814","5","2","13","13"
"3","222","Maximiliano RAMIREZ RESTREPO","125 CC","1:26.817","13","1","8","11"
"4","700","Maximiliano GUERRA ALVAREZ","125 CC","1:28.961","13","1","9","10"
"5","630","Samuel Andres PINTO DUARTE","125 CC","1:32.203","13","1","10","9"
"6","247","Martin Estrada Zapata","125 CC","1:32.843","18","1","6","8"
"7","36-2","Thomas PINEDA GONZALEZ","125 CC","1:29.092","18","1","11","3"
"8","244","Alejandro ANGEL ISAZA","125 CC","1:35.567","20","1","5","7"
"9","220-E","SEBASTIAN RIOS CONGOTE","125 CC","1:41.818","23","1","3","6"
"10","464-E","MATHIAS URREA MORENO","125 CC","1:49.458","23","1","4","5"
"11","710","Juan David MENDOZA DUARTE","125 CC","1:28.347","25","1","7","0"
"12","328","Michelle Lacharme","125 CC","1:44.565","26","1","2","4"
