"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 CC","Putumayo","3","Husqvarna","TEAM RACING MOCOA","","1:22.557","7","","9:36.758"
"2","114","Miguel Angel LOPEZ MARTINEZ","125 CC","Quindío","2","Yamaha","CLUB RUTEROS DEL QUINDIO","14.488","1:23.814","7","","9:51.246"
"3","222","Maximiliano RAMIREZ RESTREPO","125 CC","Antioquia","1","Yamaha","STUNT FIVE","27.544","1:26.817","7","","10:04.302"
"4","36-2","Thomas PINEDA GONZALEZ","125 CC","Caldas","1","Honda","CLUB DE MOTOCICLISMO JP36","37.313","1:29.092","7","","10:14.071"
"5","710","Juan David MENDOZA DUARTE","125 CC","Meta","1","Yamaha","VILLAVICENCIO RACING CLUB","40.269","1:28.347","7","","10:17.027"
"6","700","Maximiliano GUERRA ALVAREZ","125 CC","Antioquia","1","Yamaha","CLUB GRILLOS RACING","52.545","1:28.961","7","","10:29.303"
"7","630","Samuel Andres PINTO DUARTE","125 CC","Meta","1","Yamaha","VILLAVICENCIO RACING CLUB","1:09.344","1:32.203","7","","10:46.102"
"8","247","Martin Estrada Zapata","125 CC","Antioquia","1","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","1:14.209","1:32.843","7","","10:50.967"
"9","244","Alejandro ANGEL ISAZA","125 CC","Valle del Cauca","1","Yamaha","Carasucias","1:26.308","1:35.567","7","","11:03.066"
"10","220-E","SEBASTIAN RIOS CONGOTE","125 CC","Antioquia","1","Yamaha","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:41.818","6","","10:24.273"
"11","328","Michelle Lacharme","125 CC","Antioquia","1","KTM","CLUB DE MOTOCICLISMO STUNT FIVE","1 Vuelta","1:44.565","6","","11:00.862"
"12","464-E","MATHIAS URREA MORENO","125 CC","Antioquia","1","Husqvarna","CLUB GRILLOS RACING","2 Vueltas","1:49.458","5","","9:40.852"
