"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","255","Juan Sebastian WONG RODRÍGUEZ","115 cc Infantil","15","","1:01.094","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"2","312","Eder Sebastian JARAMILLO YARA","115 cc Infantil","13","5.600","1:03.233","Yamaha","Tolima","CLUB PISTON RACING","10",""
"3","16","Dylan Santiago RODRIGUEZ CUELLAR","115 cc Infantil","11","38.929","1:06.235","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"4","181","Juan David Melo Bastidas","115 cc Infantil","10","39.445","1:05.108","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","10",""
"5","168","Jeiccob David CARDOZO VERA","115 cc Infantil","9","42.472","1:05.732","Yamaha","Tolima","CLUB PISTON RACING","10",""
"6","E-745","Jeronimo HENAO MARIN","115 cc Infantil","8","1 Vuelta","1:03.439","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","9",""
"7","450","Derian Andres ROZO CASTIBLANCO","115 cc Infantil","7","1 Vuelta","1:06.523","Yamaha","Cundinamarca","Club Velocidad Bogotá","9",""
"8","395","Andres David Madroñero Alvear","115 cc Infantil","6","2 Vueltas","1:05.284","Yamaha","Nariño","CLUB MOTEROS LA UNION RIDERS","8",""
"NT","161","Juan Esteban ZAPATA MUÑOZ","115 cc Infantil","0","NT","1:07.390","Yamaha","Caldas","CLUB RACING PERFORMANCE","3",""
"NT","267","Andres Esteban HIGUITA CARRILLO","115 cc Infantil","0","NT","","Yamaha","Quindío","CLUB MONSTER GARAGE","",""
"NT","123","Samuel David HERNANDEZ MONTES","115 cc Infantil","0","NT","","Yamaha","Cesar","CLUB KALIMA RACING","",""
