"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","227","Rigo German SALAZAR CERON","115 cc Master","15","","1:01.268","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"2","251","Eder Danny TAPIERO LOPEZ","115 cc Master","13","9.749","1:01.338","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"3","230","Diego Fernando CASTRO","115 cc Master","11","23.659","1:03.251","Yamaha","Nariño","CLUB BUFALO XTREM PARK","10",""
"4","398","Guillermo Augusto DIAZ","115 cc Master","10","25.778","1:02.986","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"5","45","Juan Carlos SEGURA MARTINEZ","115 cc Master","9","29.260","1:02.838","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"6","E-305","JOSE EIDER OSPINA","115 cc Master","8","45.886","1:04.606","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"7","744","Roberto Jose Ruiz Ayala","115 cc Master","7","48.841","1:01.192","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"8","27","Lisandro VASQUEZ RAMIREZ","115 cc Master","6","54.836","1:05.997","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"NT","710","Alexander DIAZ CASTAÑO","115 cc Master","0","NT","1:03.316","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","4",""
"NT","602","Jaime Andrés RESTREPO NUÑEZ","115 cc Master","0","NT","1:03.425","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","4",""
"NT","178","Carlos Andres CARDOZO MILLAN","115 cc Master","0","NT","","Yamaha","Tolima","CLUB PISTON RACING","",""
