"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","726","Nicolas MILLAN MURILLO","Pit bike","15","","59.789","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"2","88","Gerardo camilo TORRES","Pit bike","13","7.451","1:00.488","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"3","921","Giomar Nicolas Ruiz Burbano","Pit bike","11","8.216","1:00.851","Bajaj","Nariño","MOTOCLUB CONSACA","10",""
"4","424","Juan Manuel FORERO BANDERA","Pit bike","10","16.214","1:00.537","Yamaha","Tolima","CLUB PISTON RACING","10",""
"5","243","David Fernando BURBANO GOMEZ","Pit bike","9","16.781","1:01.435","Yamaha","Putumayo","TEAM RACING MOCOA","10",""
"6","98","Mateo CASTELLANOS CARVAJAL","Pit bike","8","17.485","1:01.786","Beta","Caldas","CLUB JHC RACING","10",""
"7","681","Andres Felipe RESTREPO CASTRILLON","Pit bike","7","39.892","1:01.214","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"8","114","GIOVANY ANDRES ARTEAGA MONCAYO","Pit bike","6","47.263","1:04.044","Bajaj","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","10",""
"9","988","JUAN CARLOS LOPEZ VIDAL","Pit bike","5","1 Vuelta","1:04.496","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","9",""
"10","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike","4","1 Vuelta","1:02.717","Yamaha","Quindío","CLUB MONSTER GARAGE","9",""
"11","914","Santiago Andres Guerra Ramos","Pit bike","3","1 Vuelta","1:09.752","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","9",""
"NT","721","Juan Andres RODRIGUEZ ARIAS","Pit bike","0","NT","","TVS","Caldas","CLUB MX PRO","",""
