"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","GIOVANY ANDRES ARTEAGA MONCAYO","115 cc Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","53.293","8","8.092","0.455",""
"2","428","DANIEL QUINTANA CASTRO","115 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","53.338","3","8.137","0.045",""
"3","524","Jhon Edwar BALLESTEROS CARDONA","115 cc Inicio","Quindío","CLUB DISCOVER QUINDIO","Yamaha","53.874","2","8.673","0.536",""
"4","732","FREDDY SANTIAGO MAYA OTAYA","115 cc Inicio","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","53.964","11","8.763","0.090",""
"5","242","Benjamín Mayoral Toledo","115 cc Inicio","Putumayo","TEAM RACING MOCOA","Yamaha","53.983","11","8.782","0.019",""
"6","631","Johan GOMEZ PEREZ","115 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","54.024","11","8.823","0.041",""
"7","914","Santiago Andres Guerra Ramos","115 cc Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","54.488","5","9.287","0.464",""
"8","833-E","Marco Gutiérrez Chávez","115 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.567","4","9.366","0.079",""
"9","258","EDWIN ALEXIS SANCHEZ MORA","115 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.570","9","9.369","0.003",""
"10","77","David Estevan Calvache González","115 cc Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","54.726","8","9.525","0.156",""
"11","453","Alexander MARIN YEPES","115 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","54.734","5","9.533","0.008",""
"12","158","Angel Alberto SALOMON ORTIZ","115 cc Inicio","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","54.774","9","9.573","0.040",""
"13","821-E","ALVARO DANILO CUASTUMAL PASTAS","115 cc Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","54.797","7","9.596","0.023",""
"14","724","David Andres RAMIREZ","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","54.857","3","9.656","0.060",""
"15","159-E","JOHAN SEBASTIAN CEBALLOS VELASQUEZ","115 cc Inicio","Nariño","MOTOSAM","Yamaha","54.942","3","9.741","0.085",""
"16","184","Deimer Danny Diaz Arciniegas","115 cc Inicio","Putumayo","motoclub mocoa","Yamaha","55.072","3","9.871","0.130",""
"17","757-E","ESTEBAN ALAIN CISNEROS INSUASTI","115 cc Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","55.362","3","10.161","0.290",""
"18","103","Juan Sebastian DIAZ OSPINA","115 cc Inicio","Huila","CLUB MOTO JAPONESA","Yamaha","55.498","5","10.297","0.136",""
"19","910-E","GERMAN ANDRES ARCOS VITERI","115 cc Inicio","Nariño","CLUB DEPORTIVO LOS CAFETEROS","Yamaha","55.549","11","10.348","0.051",""
"20","206-E","Juan Sebastián Satizabal","115 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","55.866","4","10.665","0.317",""
"21","388","Daniel Esteban López Vallejos","115 cc Inicio","Nariño","MOTOCLUB PROVIDENCIA","Yamaha","56.026","4","10.825","0.160",""
"22","639-E","NICOLAS ALEJANDRO GUERRA DELGADO","115 cc Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","56.812","8","11.611","0.786",""
"23","655-E","Diego Alexander Estrada Recalde","115 cc Inicio","Nariño","CLUB DEPORTIVO SOLIMOTOS","Yamaha","56.856","3","11.655","0.044",""
"24","293-E","Juan Carlos Albán","115 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","56.922","2","11.721","0.066",""
"25","865","KEVIN ANDRES RODRIGUEZ HIGUITA","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","57.159","9","11.958","0.237",""
"26","266","Jhon Rene PARDO ARIAS","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","57.809","4","12.608","0.650",""
"27","372","Alex Mauricio Mosquera Silva","115 cc Inicio","Putumayo","motoclub mocoa","Yamaha","1:01.027","3","15.826","3.218",""
"28","416-E","RUBEN DARIO NARVAEZ CHAVEZ","115 cc Inicio","Nariño","MOTOCLUB CONSACA","Yamaha","1:03.481","2","18.280","2.454",""
"","239","Esteban DORADO SOLARTE","115 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","45.201","4","","","RECORTE DE PISTA"
"","466","Jheisson Stiven Delgado Mora","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","52.838","3","7.637","7.637","RECORTE DE PISTA"
"","292","JUAN DAVID DE LOS RIOS GARCIA","115 cc Inicio","Nariño","CLUB ISLEÑOS TUMACO","Yamaha","","0","","",""
"","627","Carlos Andres HUGUITA CARRILLO","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","","0","","",""
"","703-E","Jean Carlos aranda González","115 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","","0","","",""
"","735-E","JUAN CARLOS RIVERA SALAS","115 cc Inicio","Nariño","MOTOSAM","Yamaha","","0","","",""
