"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","227","Rigo German SALAZAR CERON","15","115 cc Master","Yamaha","Quindío","CLUB MONSTER GARAGE","","51.214","8",""
"2","710","Alexander DIAZ CASTAÑO","13","115 cc Master","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","8.058","52.537","8",""
"3","240-E","Luis Jaime","11","115 cc Master","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8.122","52.565","8",""
"4","578","Raul Andres ARTUNDUAGA ROJAS","10","115 cc Master","","Quindío","","9.029","52.342","8",""
"5","45","Juan Carlos SEGURA MARTINEZ","9","115 cc Master","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","9.531","52.317","8",""
"6","507-E","Guillermo Andres RODRIGUEZ ERASO","8","115 cc Master","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","16.209","52.967","8",""
"7","398","Guillermo Augusto DIAZ","7","115 cc Master","Yamaha","Quindío","CLUB MONSTER GARAGE","24.464","54.217","8",""
"8","220","Diego Fernando CASTRO","6","115 cc Master","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","26.272","53.122","8",""
"9","663-E","FREDY ANTONIO BURBANO NARVAEZ","5","115 cc Master","Yamaha","Putumayo","CLUB EXTREME RACING","26.358","53.624","8",""
"10","163-E","ALVARO FABIAN TORRES PABON","4","115 cc Master","Yamaha","Nariño","CLUB DEPORTIVO LOS CAFETEROS","31.120","54.999","8",""
"11","173-E","ERLEY ALEXANDER ARTEAGA CHAUCANES","3","115 cc Master","Yamaha","Nariño","MOTOCLUB CONSACA","41.141","54.965","8",""
"12","574-E","Javier Hernando Salazar Burbano","2","115 cc Master","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","58.634","57.608","8",""
"13","602","Jaime Andrés RESTREPO NUÑEZ","1","115 cc Master","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","1 Vuelta","55.583","7",""
"NT","282-E","RIGO JOSE NARVAEZ GORDILLO","0","115 cc Master","Yamaha","Nariño","MOTOCLUB TANGUA RACING","NT","54.772","2",""
