"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","115 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","51.182","4","","",""
"2","220","Diego Fernando CASTRO","115 cc Master","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","52.192","4","1.010","1.010",""
"3","710","Alexander DIAZ CASTAÑO","115 cc Master","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","52.504","5","1.322","0.312",""
"4","240-E","Luis Jaime","115 cc Master","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.759","2","1.577","0.255",""
"5","45","Juan Carlos SEGURA MARTINEZ","115 cc Master","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.976","3","1.794","0.217",""
"6","507-E","Guillermo Andres RODRIGUEZ ERASO","115 cc Master","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","53.532","6","2.350","0.556",""
"7","578","Raul Andres ARTUNDUAGA ROJAS","115 cc Master","Quindío","","","53.588","2","2.406","0.056",""
"8","663-E","FREDY ANTONIO BURBANO NARVAEZ","115 cc Master","Putumayo","CLUB EXTREME RACING","Yamaha","54.057","4","2.875","0.469",""
"9","398","Guillermo Augusto DIAZ","115 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","54.631","6","3.449","0.574",""
"10","173-E","ERLEY ALEXANDER ARTEAGA CHAUCANES","115 cc Master","Nariño","MOTOCLUB CONSACA","Yamaha","54.878","3","3.696","0.247",""
"11","163-E","ALVARO FABIAN TORRES PABON","115 cc Master","Nariño","CLUB DEPORTIVO LOS CAFETEROS","Yamaha","55.504","6","4.322","0.626",""
"12","602","Jaime Andrés RESTREPO NUÑEZ","115 cc Master","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","55.681","4","4.499","0.177",""
"13","282-E","RIGO JOSE NARVAEZ GORDILLO","115 cc Master","Nariño","MOTOCLUB TANGUA RACING","Yamaha","55.684","5","4.502","0.003",""
"14","574-E","Javier Hernando Salazar Burbano","115 cc Master","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","58.237","2","7.055","2.553",""
