"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","15","115 cc Elite","Yamaha","Caldas","CLUB JHC RACING","","50.479","10",""
"2","243","David Fernando BURBANO GOMEZ","13","115 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","1.246","50.458","10",""
"3","155-E","Juan Felipe HERNANDEZ ALZATE","11","115 cc Elite","Yamaha","Meta","CLUB LLANEROS RANCING","10.721","51.050","10",""
"4","434","EDGAR FELIPE ARTUNDUAGA CRUZ","10","115 cc Elite","Yamaha","Huila","CLUB MOTO JAPONESA","10.803","51.361","10",""
"5","921","Giomar Nicolas Ruiz Burbano","9","115 cc Elite","Yamaha","Nariño","MOTOCLUB CONSACA","13.450","51.742","10",""
"6","88","Gerardo camilo TORRES","8","115 cc Elite","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","13.625","51.327","10",""
"7","726","Nicolas MILLAN MURILLO","7","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","13.748","51.499","10",""
"8","846","Yamid Sebastian LOPEZ VALLEJOS","6","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","14.141","51.582","10",""
"9","96","Oscar Santiago MUÑOZ CARVAJAL","5","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","14.376","51.794","10",""
"10","41","Nicolas DUQUE PATIÑO","4","115 cc Elite","Yamaha","Meta","SUTA RACING CLUB","16.233","50.799","10",""
"11","312","Eder Sebastian JARAMILLO YARA","3","115 cc Elite","Yamaha","Tolima","CLUB PISTON RACING","20.136","51.984","10",""
"12","988","JUAN CARLOS LOPEZ VIDAL","2","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","21.927","52.548","10",""
"13","207","David Alejandro FORERO ZAPATA","1","115 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","21.991","50.834","10",""
"14","818-E","Jorge Andres Gomez Eraso","1","115 cc Elite","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","25.129","52.171","10",""
"15","681","Andres Felipe RESTREPO CASTRILLON","1","115 cc Elite","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","27.133","52.698","10",""
"16","831-E","JHON FREDY BURBANO PINZA","0","115 cc Elite","Yamaha","Nariño","TEAM MOTOCLUB EL TAMBO","29.096","52.801","10",""
"17","138-E","Nixon Yamit GARCIA DIAZ","0","115 cc Elite","Yamaha","Nariño","TEAM MOTOCLUB EL TAMBO","29.120","52.715","10",""
"18","424","Juan Manuel FORERO BANDERA","0","115 cc Elite","Yamaha","Tolima","CLUB PISTON RACING","30.079","52.990","10",""
"19","691-E","JOSE LUIS ZARAMA CASTILLO","0","115 cc Elite","Yamaha","Nariño","CLUB DEPORTIVO LOS CAFETEROS","44.850","53.333","10",""
"NT","710","Alexander DIAZ CASTAÑO","0","115 cc Elite","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","NT","52.638","9",""
"NT","145","Juan Pablo GALVIS QUINTERO","0","115 cc Elite","Yamaha","Putumayo","PUERTO ASIS","NT","52.071","6",""
"NT","222-E","Jeisson David Lamilla","0","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","51.608","6",""
"NT","303-E","LUIS DAVID ROSALES DOMINGUEZ","0","115 cc Elite","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","NT","54.991","5",""
"NT","343","Juan Pablo BURBANO GOMEZ","0","115 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","NT","53.506","4",""
"NT","227","Rigo German SALAZAR CERON","0","115 cc Elite","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","50.866","3",""
"NT","240-E","Luis Jaime","0","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
