"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","428","DANIEL QUINTANA CASTRO","15","150 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","52.084","8",""
"2","77","David Estevan Calvache González","13","150 cc Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","3.285","52.281","8",""
"3","242","Benjamín Mayoral Toledo","11","150 cc Inicio","Yamaha","Putumayo","TEAM RACING MOCOA","11.907","51.723","8",""
"4","258","EDWIN ALEXIS SANCHEZ MORA","10","150 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","19.951","52.437","8",""
"5","206-E","Juan Sebastián Satizabal","9","150 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","27.948","54.422","8",""
"6","388","Daniel Esteban López Vallejos","8","150 cc Inicio","Yamaha","Nariño","MOTOCLUB PROVIDENCIA","1 Vuelta","52.728","7",""
"NT","631","Johan GOMEZ PEREZ","0","150 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","52.929","7",""
"NT","103","Juan Sebastian DIAZ OSPINA","0","150 cc Inicio","Yamaha","Huila","CLUB MOTO JAPONESA","NT","57.336","6",""
"NT","114","GIOVANY ANDRES ARTEAGA MONCAYO","0","150 cc Inicio","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","NT","52.420","3",""
"NT","453","Alexander MARIN YEPES","0","150 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","","",""
"NT","833-E","Marco Gutiérrez Chávez","0","150 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"NE","372","Alex Mauricio Mosquera Silva","0","150 cc Inicio","Yamaha","Putumayo","motoclub mocoa","NE","","",""
"NE","627","Carlos Andres HUGUITA CARRILLO","0","150 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","NE","","",""
"NE","757-E","ESTEBAN ALAIN CISNEROS INSUASTI","0","150 cc Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","NE","","",""
