"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","662","Carlos Ivan RIVERA BURBANO","15","50 cc","TVS","Nariño","CLUB JOSMARC MOTOS RACING","","57.145","6",""
"2","307","Juan Jose JIMENEZ HIDALGO","13","50 cc","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","14.060","59.330","6",""
"3","961-E","Isaac Daniel Velasquez Salazar","11","50 cc","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","14.846","59.158","6",""
"4","320-E","Luis Angel CASTRO","10","50 cc","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","15.051","59.130","6",""
"5","481","EMMANUEL DIAZ RUIZ","9","50 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","21.897","1:00.513","6",""
"6","83-E","TOMAS ECHAVARRIA GRISALES","8","50 cc","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","35.552","1:02.786","6",""
"7","918-E","ISAAC ALEJANDRO BURBANO CUPACAN","7","50 cc","TVS","Nariño","CLUB JOSMARC MOTOS RACING","1 Vuelta","1:11.020","5",""
"8","812-E","YOJAN FERNANDO ALMEIDA PANTOJA","6","50 cc","Yamaha","Nariño","MOTOCLUB CONSACA","1 Vuelta","1:13.246","5",""
"9","742-E","MARTHIN SEBASTIAN ANDRADE ARAUJO","5","50 cc","TVS","Nariño","MOTOSAM","1 Vuelta","1:13.728","5",""
"10","784","Isabella Diaz botero","4","50 cc","Yamaha","Quindío","CLUB MONSTER GARAGE","1 Vuelta","1:13.641","5",""
"11","263-E","JACOB SANTIAGO LUCANO OBANDO","3","50 cc","KTM","Nariño","MOTOCLUB TANGUA RACING","1 Vuelta","1:19.104","5",""
