"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","662","Carlos Ivan RIVERA BURBANO","50 CC","Nariño","CLUB JOSMARC MOTOS RACING","TVS","57.471","6","","",""
"2","320-E","Luis Angel CASTRO","50 CC","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","59.105","4","1.634","1.634",""
"3","961-E","Isaac Daniel Velasquez Salazar","50 CC","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:00.360","6","2.889","1.255",""
"4","307","Juan Jose JIMENEZ HIDALGO","50 CC","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:00.614","6","3.143","0.254",""
"5","481","EMMANUEL DIAZ RUIZ","50 CC","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:01.527","7","4.056","0.913",""
"6","83-E","TOMAS ECHAVARRIA GRISALES","50 CC","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:04.029","7","6.558","2.502",""
"7","812-E","YOJAN FERNANDO ALMEIDA PANTOJA","50 CC","Nariño","MOTOCLUB CONSACA","Yamaha","1:13.412","3","15.941","9.383",""
"8","918-E","ISAAC ALEJANDRO BURBANO CUPACAN","50 CC","Nariño","CLUB JOSMARC MOTOS RACING","TVS","1:15.062","6","17.591","1.650",""
"9","784","Isabella Diaz botero","50 CC","Quindío","CLUB MONSTER GARAGE","Yamaha","1:15.884","4","18.413","0.822",""
"10","742-E","MARTHIN SEBASTIAN ANDRADE ARAUJO","50 CC","Nariño","MOTOSAM","TVS","1:15.901","3","18.430","0.017",""
"11","263-E","JACOB SANTIAGO LUCANO OBANDO","50 CC","Nariño","MOTOCLUB TANGUA RACING","KTM","1:19.930","3","22.459","4.029",""
