"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","703-E","Jean Carlos aranda González","AX 100 Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.553","3","","",""
"2","114","GIOVANY ANDRES ARTEAGA MONCAYO","AX 100 Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Suzuki","54.586","8","0.033","0.033",""
"3","77","David Estevan Calvache González","AX 100 Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","54.866","5","0.313","0.280",""
"4","735-E","JUAN CARLOS RIVERA SALAS","AX 100 Inicio","Nariño","MOTOSAM","Yamaha","54.963","6","0.410","0.097",""
"5","655-E","Diego Alexander Estrada Recalde","AX 100 Inicio","Nariño","CLUB DEPORTIVO SOLIMOTOS","Suzuki","55.138","3","0.585","0.175",""
"6","910-E","GERMAN ANDRES ARCOS VITERI","AX 100 Inicio","Nariño","CLUB DEPORTIVO LOS CAFETEROS","Suzuki","55.197","9","0.644","0.059",""
"7","239","Esteban DORADO SOLARTE","AX 100 Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","55.243","8","0.690","0.046",""
"8","732","FREDDY SANTIAGO MAYA OTAYA","AX 100 Inicio","Nariño","CLUB DEPORTIVO BUFALO XTREM","Suzuki","55.567","4","1.014","0.324",""
"9","428","DANIEL QUINTANA CASTRO","AX 100 Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","55.731","4","1.178","0.164",""
"10","833-E","Marco Gutiérrez Chávez","AX 100 Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","56.064","5","1.511","0.333",""
"11","388","Daniel Esteban López Vallejos","AX 100 Inicio","Nariño","MOTOCLUB PROVIDENCIA","Suzuki","56.223","4","1.670","0.159",""
"12","242","Benjamín Mayoral Toledo","AX 100 Inicio","Putumayo","TEAM RACING MOCOA","Suzuki","56.545","9","1.992","0.322",""
"13","757-E","ESTEBAN ALAIN CISNEROS INSUASTI","AX 100 Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","56.711","7","2.158","0.166",""
"14","821-E","ALVARO DANILO CUASTUMAL PASTAS","AX 100 Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Suzuki","57.030","6","2.477","0.319",""
"15","184","Deimer Danny Diaz Arciniegas","AX 100 Inicio","Putumayo","motoclub mocoa","Yamaha","57.749","5","3.196","0.719",""
"16","416-E","RUBEN DARIO NARVAEZ CHAVEZ","AX 100 Inicio","Nariño","MOTOCLUB CONSACA","Suzuki","58.463","5","3.910","0.714",""
"17","266","","AX 100 Inicio","","","","1:01.127","3","6.574","2.664",""
"18","453","Alexander MARIN YEPES","AX 100 Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","1:02.443","2","7.890","1.316",""
