"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","604","Samuel VARGAS OME","Infantil","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","TVS","55.512","10","","",""
"2","123","Samuel David HERNANDEZ MONTES","Infantil","Cesar","CLUB KALIMA RACING","AKT","55.701","8","0.189","0.189",""
"3","737","Juan Jose AMAYA VAHOS","Infantil","Huila","CLUB MOTO JAPONESA","Yamaha","55.822","6","0.310","0.121",""
"4","395","Andres David Madroñero Alvear","Infantil","Nariño","CLUB MOTEROS RIDERS LA UNION","Victory","56.685","5","1.173","0.863",""
"5","662","Carlos Ivan RIVERA BURBANO","Infantil","Nariño","CLUB JOSMARC MOTOS RACING","TVS","58.651","7","3.139","1.966",""
"6","725","JOAQUIN ANDRES IBARRA PARRA","Infantil","Huila","CLUB MOTO JAPONESA","Yamaha","58.716","8","3.204","0.065",""
"7","358-E","IAN ALARICK IPAZ GUERRERO","Infantil","Nariño","MOTOCLUB TANGUA RACING","AKT","58.724","9","3.212","0.008",""
"8","961-E","Isaac Daniel Velasquez Salazar","Infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","59.547","10","4.035","0.823",""
"9","307","Juan Jose JIMENEZ HIDALGO","Infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:00.355","9","4.843","0.808",""
"10","719-E","jhoan felipe velasquez pasuy","Infantil","Nariño","MOTOCLUB TANGUA RACING","TVS","1:00.708","4","5.196","0.353",""
"11","829-E","JUAN SEBASTIAN HOYOS","Infantil","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","1:01.582","4","6.070","0.874",""
"12","83-E","TOMAS ECHAVARRIA GRISALES","Infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:01.829","5","6.317","0.247",""
"13","104-E","ZAMARA ARELLANO PEREZ","Infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:05.730","8","10.218","3.901",""
"14","633-E","DYLAN SANTIAGO JIMENEZ YELA","Infantil","Nariño","CLUB JOSMARC MOTOS RACING","TVS","1:07.676","4","12.164","1.946",""
