"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","726","Nicolas MILLAN MURILLO","15","Pit bike","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","","51.489","7",""
"2","88","Gerardo camilo TORRES","13","Pit bike","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","0.194","51.481","7",""
"3","681","Andres Felipe RESTREPO CASTRILLON","11","Pit bike","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","3.918","51.670","7",""
"4","243","David Fernando BURBANO GOMEZ","10","Pit bike","Husqvarna","Putumayo","TEAM RACING MOCOA","8.112","52.407","7",""
"5","424","Juan Manuel FORERO BANDERA","9","Pit bike","Yamaha","Tolima","CLUB PISTON RACING","13.763","52.925","7",""
"6","155-E","Juan Felipe HERNANDEZ ALZATE","8","Pit bike","Yamaha","Meta","CLUB LLANEROS RANCING","17.369","52.935","7",""
"7","220","Diego Fernando CASTRO","7","Pit bike","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","23.899","54.126","7",""
"8","831-E","JHON FREDY BURBANO PINZA","6","Pit bike","TVS","Nariño","TEAM MOTOCLUB EL TAMBO","23.964","54.131","7",""
"9","96","Oscar Santiago MUÑOZ CARVAJAL","5","Pit bike","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","27.158","54.769","7",""
"10","114","GIOVANY ANDRES ARTEAGA MONCAYO","4","Pit bike","TVS","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","41.418","56.526","7",""
"11","914","Santiago Andres Guerra Ramos","3","Pit bike","TVS","Nariño","CLUB JOSMARC MOTOS RACING","50.359","57.985","7",""
"12","727-E","BOLIVAR ALEJANDRO MARTINEZ AGREDA","2","Pit bike","TVS","Nariño","TEAM MOTOCLUB EL TAMBO","1 Vuelta","1:00.186","6",""
"13","988","JUAN CARLOS LOPEZ VIDAL","1","Pit bike","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1 Vuelta","56.150","6",""
"14","138-E","Nixon Yamit GARCIA DIAZ","1","Pit bike","TVS","Nariño","TEAM MOTOCLUB EL TAMBO","1 Vuelta","55.596","6",""
"15","346-E","Josue Daniel Bastidas Moncayo","1","Pit bike","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","3 Vueltas","1:00.015","4",""
"NT","255","Juan Sebastian WONG RODRÍGUEZ","0","Pit bike","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","52.492","6",""
"NT","818-E","Jorge Andres Gomez Eraso","0","Pit bike","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","NT","53.673","5",""
"NT","921","Giomar Nicolas Ruiz Burbano","0","Pit bike","Yamaha","Nariño","MOTOCLUB CONSACA","NT","","",""
"NT","98","Mateo CASTELLANOS CARVAJAL","0","Pit bike","Yamaha","Caldas","CLUB JHC RACING","NT","","",""
"NT","469-E","HAMILTON FRANK PANTOJA PASUY","0","Pit bike","TVS","Nariño","MOTOCLUB TANGUA RACING","NT","","",""
