"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","726","Nicolas MILLAN MURILLO","Pit bike","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.947","7","","",""
"2","88","Gerardo camilo TORRES","Pit bike","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","51.568","8","0.621","0.621",""
"3","921","Giomar Nicolas Ruiz Burbano","Pit bike","Nariño","MOTOCLUB CONSACA","Yamaha","51.587","8","0.640","0.019",""
"4","681","Andres Felipe RESTREPO CASTRILLON","Pit bike","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","51.645","8","0.698","0.058",""
"5","243","David Fernando BURBANO GOMEZ","Pit bike","Putumayo","TEAM RACING MOCOA","Husqvarna","51.833","4","0.886","0.188",""
"6","98","Mateo CASTELLANOS CARVAJAL","Pit bike","Caldas","CLUB JHC RACING","Yamaha","52.146","6","1.199","0.313",""
"7","988","JUAN CARLOS LOPEZ VIDAL","Pit bike","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.525","9","1.578","0.379",""
"8","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike","Quindío","CLUB MONSTER GARAGE","Yamaha","52.788","7","1.841","0.263",""
"9","424","Juan Manuel FORERO BANDERA","Pit bike","Tolima","CLUB PISTON RACING","Yamaha","52.994","3","2.047","0.206",""
"10","818-E","Jorge Andres Gomez Eraso","Pit bike","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","53.626","7","2.679","0.632",""
"11","155-E","Juan Felipe HERNANDEZ ALZATE","Pit bike","Meta","CLUB LLANEROS RANCING","Yamaha","53.761","3","2.814","0.135",""
"12","220","Diego Fernando CASTRO","Pit bike","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","54.662","2","3.715","0.901",""
"13","114","GIOVANY ANDRES ARTEAGA MONCAYO","Pit bike","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","TVS","54.697","7","3.750","0.035",""
"14","138-E","Nixon Yamit GARCIA DIAZ","Pit bike","Nariño","TEAM MOTOCLUB EL TAMBO","TVS","54.718","5","3.771","0.021",""
"15","831-E","JHON FREDY BURBANO PINZA","Pit bike","Nariño","TEAM MOTOCLUB EL TAMBO","TVS","54.967","8","4.020","0.249",""
"16","96","Oscar Santiago MUÑOZ CARVAJAL","Pit bike","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","55.078","7","4.131","0.111",""
"17","346-E","Josue Daniel Bastidas Moncayo","Pit bike","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","58.247","3","7.300","3.169",""
"18","914","Santiago Andres Guerra Ramos","Pit bike","Nariño","CLUB JOSMARC MOTOS RACING","TVS","59.837","2","8.890","1.590",""
"19","727-E","BOLIVAR ALEJANDRO MARTINEZ AGREDA","Pit bike","Nariño","TEAM MOTOCLUB EL TAMBO","TVS","1:00.390","2","9.443","0.553",""
"NE","469-E","HAMILTON FRANK PANTOJA PASUY","Pit bike","Nariño","MOTOCLUB TANGUA RACING","TVS","","0","","",""
