"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","255","Juan Sebastian WONG RODRÍGUEZ","15","Pit bike infantil","Yamaha","Quindío","CLUB MONSTER GARAGE","","59.994","10",""
"2","123","Samuel David HERNANDEZ MONTES","13","Pit bike infantil","AKT","Cesar","CLUB KALIMA RACING","0.723","1:00.012","10",""
"3","737","Juan Jose AMAYA VAHOS","11","Pit bike infantil","Yamaha","Huila","CLUB MOTO JAPONESA","1.134","1:00.491","10",""
"4","604","Samuel VARGAS OME","10","Pit bike infantil","TVS","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","1.698","1:00.863","10",""
"5","181","Juan David Melo Bastidas","9","Pit bike infantil","Victory","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","15.372","1:00.268","10",""
"6","84-E","EMANUEL LLANO GRISALES","8","Pit bike infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:06.710","9",""
"7","725","JOAQUIN ANDRES IBARRA PARRA","7","Pit bike infantil","Yamaha","Huila","CLUB MOTO JAPONESA","1 Vuelta","1:07.988","9",""
"8","267","Andres Esteban HIGUITA CARRILLO","6","Pit bike infantil","Yamaha","Quindío","CLUB MONSTER GARAGE","1 Vuelta","1:07.044","9",""
"9","85-E","SANTIAGO MUÑOZ GUERRERO","5","Pit bike infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:13.953","9",""
"NT","719-E","jhoan felipe velasquez pasuy","0","Pit bike infantil","TVS","Nariño","MOTOCLUB TANGUA RACING","NT","1:09.891","8",""
"NT","358-E","IAN ALARICK IPAZ GUERRERO","0","Pit bike infantil","TVS","Nariño","MOTOCLUB TANGUA RACING","NT","1:06.817","2",""
"NT","395","Andres David Madroñero Alvear","0","Pit bike infantil","TVS","Nariño","CLUB MOTEROS RIDERS LA UNION","NT","1:33.747","1",""
"NT","662","Carlos Ivan RIVERA BURBANO","0","Pit bike infantil","TVS","Nariño","CLUB JOSMARC MOTOS RACING","NT","1:12.306","1",""
