"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","Supermoto","Caldas","CLUB JHC RACING","Yamaha","44.858","9","","",""
"2","243","David Fernando BURBANO GOMEZ","Supermoto","Putumayo","TEAM RACING MOCOA","Husqvarna","45.274","7","0.416","0.416",""
"3","227","Rigo German SALAZAR CERON","Supermoto","Quindío","CLUB MONSTER GARAGE","Husqvarna","45.690","10","0.832","0.416",""
"4","921","Giomar Nicolas Ruiz Burbano","Supermoto","Nariño","MOTOCLUB CONSACA","KTM","45.810","8","0.952","0.120",""
"5","155-E","Juan Felipe HERNANDEZ ALZATE","Supermoto","Meta","CLUB LLANEROS RANCING","Yamaha","46.158","4","1.300","0.348",""
"6","41","Nicolas DUQUE PATIÑO","Supermoto","Meta","SUTA RACING CLUB","","46.283","3","1.425","0.125",""
"7","89","Andrés pantoja","Supermoto","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","46.818","8","1.960","0.535",""
"8","207","David Alejandro FORERO ZAPATA","Supermoto","Putumayo","TEAM RACING MOCOA","Husqvarna","47.661","5","2.803","0.843",""
"9","158","Angel Alberto SALOMON ORTIZ","Supermoto","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","47.877","3","3.019","0.216",""
"10","328-E","YENER ARVEY MUÑOZ ORTIZ","Supermoto","Nariño","CLUB ISLEÑOS TUMACO","KTM","48.957","11","4.099","1.080",""
"11","622","Carlos David Paz Agreda","Supermoto","Nariño","MOTOCLUB CONSACA","KTM","49.864","5","5.006","0.907",""
"12","346-E","Josue Daniel Bastidas Moncayo","Supermoto","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","50.656","4","5.798","0.792",""
"13","831-E","JHON FREDY BURBANO PINZA","Supermoto","Nariño","TEAM MOTOCLUB EL TAMBO","Yamaha","50.875","7","6.017","0.219",""
"14","68","Alvaro Javier PEREZ BERNAL","Supermoto","Quindío","CLUB DISCOVER QUINDIO","Husqvarna","51.805","8","6.947","0.930",""
"15","991-E","LUIS AEXANDER FERNANDEZ CASTILLO","Supermoto","Nariño","CLUB MOTEROS RIDERS LA UNION","KTM","53.790","6","8.932","1.985",""
"NE","88","Gerardo camilo TORRES","Supermoto","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","","0","","",""
"NE","248","JUAN DAVID ORTEGA PATIÑO","Supermoto","Nariño","MOTOCLUB TANGUA RACING","KTM","","0","","",""
