"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","428","DANIEL QUINTANA CASTRO","15","115 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","51.577","10",""
"2","696-E","Jhon Deiby Escobar","13","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","0.232","51.473","10",""
"3","77","David Estevan Calvache González","11","115 cc Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","12.069","52.836","10",""
"4","803-E","Marco Gutiérrez Chávez","10","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","14.368","52.955","10",""
"5","732","FREDDY SANTIAGO MAYA OTAYA","9","115 cc Inicio","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","20.892","52.744","10",""
"6","222-E","Juan Carlos Albán","8","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","21.989","53.212","10",""
"7","39-E","Julian David CONCHA VALENCIA","7","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","22.381","51.964","10",""
"8","524","Jhon Edwar BALLESTEROS CARDONA","6","115 cc Inicio","Yamaha","Quindío","CLUB DISCOVER QUINDIO","22.745","53.359","10",""
"9","914","Santiago Andres Guerra Ramos","5","115 cc Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","23.276","53.484","10",""
"10","825-E","Luis Miguel Dorado","4","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","24.331","53.208","10",""
"11","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","3","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","26.503","53.450","10",""
"12","239","Esteban DORADO SOLARTE","2","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","28.829","52.879","10",""
"13","764-E","Wilson villaquiran hidago","1","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","35.531","54.708","10",""
"14","724","David Andres RAMIREZ","1","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","35.882","54.055","10",""
"15","910-E","GERMAN ANDRES ARCOS VITERI","1","115 cc Inicio","Yamaha","Nariño","CLUB DEPORTIVO LOS CAFETEROS","39.237","54.523","10",""
"16","515-E","David LOPERA ARROYAVE","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","41.461","55.183","10",""
"17","114","GIOVANY ANDRES ARTEAGA MONCAYO","0","115 cc Inicio","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","44.811","52.891","10",""
"18","152-E","Juan Manuel Holguín","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1 Vuelta","57.338","9",""
"19","346-E","Andrés Sebastián forero Parra","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2 Vueltas","53.657","8",""
"NT","242","Benjamín Mayoral Toledo","0","115 cc Inicio","Yamaha","Putumayo","TEAM RACING MOCOA","NT","53.075","9",""
"NT","963","Jhojan CHAUX CIFUENTES","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","53.326","8",""
"NT","150","JUAN FERNANDO CORTES LORA","0","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","53.522","6",""
"NT","641","DAVID SEBASTIAN MENA ORDOÑEZ","0","115 cc Inicio","Yamaha","Putumayo","TEAM RACING MOCOA","NT","56.392","5",""
"NT","729","Oscar Javier IBARRA ROJAS","0","115 cc Inicio","Yamaha","Huila","CLUB MOTO JAPONESA","NT","51.224","3",""
"NT","388","Daniel Esteban López Vallejos","0","115 cc Inicio","Yamaha","Nariño","MOTOCLUB PROVIDENCIA","NT","55.957","2",""
"NT","206-E","Juan Sebastián Satizabal","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"NT","865","KEVIN ANDRES RODRIGUEZ HIGUITA","0","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","","",""
"NT","258","EDWIN ALEXIS SANCHEZ MORA","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
