"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","227","Rigo German SALAZAR CERON","15","115 CC MASTER","Yamaha","Quindío","CLUB MONSTER GARAGE","","50.857","10",""
"2","45","Juan Carlos SEGURA MARTINEZ","13","115 CC MASTER","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2.429","51.082","10",""
"3","710","Alexander DIAZ CASTAÑO","11","115 CC MASTER","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","13.507","51.786","10",""
"4","764-E","Wilson villaquiran hidago","10","115 CC MASTER","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","27.848","53.143","10",""
"5","973-E","Milton Johan Rivera Moreno","9","115 CC MASTER","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","35.295","54.274","10",""
"6","83","Guillermo Augusto DIAZ","8","115 CC MASTER","Yamaha","Quindío","CLUB MONSTER GARAGE","35.557","52.885","10",""
"7","27","Lisandro VASQUEZ RAMIREZ","7","115 CC MASTER","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","1 Vuelta","56.126","9",""
"8","676-E","Jimt Astudillo Jimenez","6","","","Cauca","CLUB CORONA CLUB XTREME","4 Vueltas","58.360","6",""
"NT","663-E","FREDY ANTONIO BURBANO NARVAEZ","0","115 CC MASTER","Yamaha","Putumayo","CLUB EXTREME RACING","NT","54.274","7",""
"NT","394-E","Luis Jaime","0","115 CC MASTER","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","51.110","5",""
