"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","696-E","Jhon Deiby Escobar","15","AX 100 Inicio","Suzuki","Cauca","CLUB CORONA CLUB XTREME PARK","","52.243","10",""
"2","729","Oscar Javier IBARRA ROJAS","13","AX 100 Inicio","Suzuki","Huila","CLUB MOTO JAPONESA","16.423","52.895","10",""
"3","114","GIOVANY ANDRES ARTEAGA MONCAYO","11","AX 100 Inicio","Suzuki","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","24.817","55.120","10",""
"4","910-E","GERMAN ANDRES ARCOS VITERI","10","AX 100 Inicio","Yamaha","Nariño","CLUB DEPORTIVO LOS CAFETEROS","25.186","54.890","10",""
"5","803-E","Marco Gutiérrez Chávez","9","AX 100 Inicio","Suzuki","Cauca","CLUB CORONA CLUB XTREME PARK","25.542","53.930","10",""
"6","388","Daniel Esteban López Vallejos","8","AX 100 Inicio","Suzuki","Nariño","MOTOCLUB PROVIDENCIA","34.080","54.927","10",""
"7","265-E","Juan Carlos plazas lis","7","AX 100 Inicio","Suzuki","Huila","CLUB MOTO JAPONESA","43.574","56.016","10",""
"8","242","Benjamín Mayoral Toledo","6","AX 100 Inicio","Suzuki","Putumayo","TEAM RACING MOCOA","46.666","56.620","10",""
"9","764-E","Wilson villaquiran hidago","5","AX 100 Inicio","Suzuki","Cauca","CLUB CORONA CLUB XTREME PARK","50.096","57.104","10",""
"10","239","Esteban DORADO SOLARTE","4","AX 100 Inicio","Suzuki","Cauca","CLUB CORONA CLUB XTREME PARK","51.700","55.216","10",""
"11","77","David Estevan Calvache González","3","AX 100 Inicio","Suzuki","Nariño","CLUB JOSMARC MOTOS RACING","53.643","55.807","10",""
"12","732","FREDDY SANTIAGO MAYA OTAYA","2","AX 100 Inicio","Suzuki","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","54.998","9",""
"NT","428","DANIEL QUINTANA CASTRO","0","AX 100 Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","55.423","9",""
"NT","795","Jhon fredi","0","AX 100 Inicio","Suzuki","Putumayo","Club Putumayo","NT","","",""
