"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","88","Gerardo camilo TORRES","Pit bike","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","50.015","6","","",""
"2","726","Nicolas MILLAN MURILLO","Pit bike","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.068","6","0.053","0.053",""
"3","681","Andres Felipe RESTREPO CASTRILLON","Pit bike","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","50.194","6","0.179","0.126",""
"4","243","David Fernando BURBANO GOMEZ","Pit bike","Putumayo","TEAM RACING MOCOA","AKT","50.896","5","0.881","0.702",""
"5","291","Juan David RIVERA PARRA","Pit bike","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","51.652","7","1.637","0.756",""
"6","988","JUAN CARLOS LOPEZ VIDAL","Pit bike","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.127","8","2.112","0.475",""
"7","96","Oscar Santiago MUÑOZ CARVAJAL","Pit bike","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.901","5","4.886","2.774",""
"8","914","Santiago Andres Guerra Ramos","Pit bike","Nariño","CLUB JOSMARC MOTOS RACING","TVS","56.367","5","6.352","1.466",""
"9","349","Samuel Fernando rodriguez castro","Pit bike","Putumayo","motoclub mocoa","AKT","56.660","6","6.645","0.293",""
"10","450","Derian Andres ROZO CASTIBLANCO","Pit bike","Cundinamarca","LISTO PILOTO","Yamaha","57.006","8","6.991","0.346",""
"11","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike","Quindío","CLUB MONSTER GARAGE","Yamaha","","0","","",""
