"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","227","Rigo German SALAZAR CERON","150 cc Master","0","","59.566","Yamaha","Quindío","CLUB MONSTER GARAGE","8",""
"2","981","Cristian David ossa","150 cc Master","0","4.491","1:00.230","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","8",""
"3","251","Eder Danny TAPIERO LOPEZ","150 cc Master","0","4.610","59.737","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","8",""
"4","45","Juan Carlos SEGURA MARTINEZ","150 cc Master","0","4.856","1:00.252","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8",""
"5","230","Diego Fernando CASTRO","150 cc Master","0","9.830","1:00.265","Yamaha","Nariño","CLUB BUFALO XTREM PARK","8",""
"6","398","Guillermo Augusto DIAZ","150 cc Master","0","17.192","59.817","Yamaha","Quindío","CLUB MONSTER GARAGE","8",""
"NT","710","Alexander DIAZ CASTAÑO","150 cc Master","0","NT","1:00.296","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","5",""
"NT","165","Jhon Fredy GUTIERREZ MOTOYA","150 cc Master","0","NT","1:03.905","Yamaha","Quindío","CLUB MONSTER GARAGE","3",""
"NT","27","Lisandro VASQUEZ RAMIREZ","150 cc Master","0","NT","","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","",""
"NT","178","Carlos Andres CARDOZO MILLAN","150 cc Master","0","NT","","Yamaha","Tolima","CLUB PISTON RACING","",""
