"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","114","GIOVANY ANDRES ARTEAGA MONCAYO","15","115 cc Inicio","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","","53.101","8",""
"2","428","DANIEL QUINTANA CASTRO","13","115 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","2.542","52.955","8",""
"3","732","FREDDY SANTIAGO MAYA OTAYA","11","115 cc Inicio","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","3.639","53.709","8",""
"4","524","Jhon Edwar BALLESTEROS CARDONA","10","115 cc Inicio","Yamaha","Quindío","CLUB DISCOVER QUINDIO","3.805","53.737","8",""
"5","77","David Estevan Calvache González","9","115 cc Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","4.985","54.100","8",""
"6","914","Santiago Andres Guerra Ramos","8","115 cc Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","7.608","54.033","8",""
"7","466","Jheisson Stiven Delgado Mora","7","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","7.780","52.867","8",""
"8","258","EDWIN ALEXIS SANCHEZ MORA","6","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8.595","54.216","8",""
"9","159-E","JOHAN SEBASTIAN CEBALLOS VELASQUEZ","5","115 cc Inicio","Yamaha","Nariño","MOTOSAM","10.876","54.497","8",""
"10","388","Daniel Esteban López Vallejos","4","115 cc Inicio","Yamaha","Nariño","MOTOCLUB PROVIDENCIA","15.471","53.968","8",""
"11","655-E","Diego Alexander Estrada Recalde","3","115 cc Inicio","Yamaha","Nariño","CLUB DEPORTIVO SOLIMOTOS","17.072","54.570","8",""
"12","821-E","ALVARO DANILO CUASTUMAL PASTAS","2","115 cc Inicio","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","17.592","54.918","8",""
"13","833-E","Marco Gutiérrez Chávez","1","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","17.727","54.246","8",""
"14","631","Johan GOMEZ PEREZ","1","115 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","18.080","54.431","8",""
"15","724","David Andres RAMIREZ","1","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","18.320","54.914","8",""
"16","910-E","GERMAN ANDRES ARCOS VITERI","0","115 cc Inicio","Yamaha","Nariño","CLUB DEPORTIVO LOS CAFETEROS","19.308","55.376","8",""
"17","242","Benjamín Mayoral Toledo","0","115 cc Inicio","Yamaha","Putumayo","TEAM RACING MOCOA","20.555","53.868","8",""
"18","206-E","Juan Sebastián Satizabal","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","28.772","56.105","8",""
"19","239","Esteban DORADO SOLARTE","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","49.435","56.767","8",""
"20","184","Deimer Danny Diaz Arciniegas","0","115 cc Inicio","Yamaha","Putumayo","motoclub mocoa","2 Vueltas","54.827","6",""
"NT","103","Juan Sebastian DIAZ OSPINA","0","115 cc Inicio","Yamaha","Huila","CLUB MOTO JAPONESA","NT","55.797","6",""
"NT","416-E","RUBEN DARIO NARVAEZ CHAVEZ","0","115 cc Inicio","Yamaha","Nariño","MOTOCLUB CONSACA","NT","58.142","6",""
"NT","865","KEVIN ANDRES RODRIGUEZ HIGUITA","0","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","56.504","4",""
"NT","757-E","ESTEBAN ALAIN CISNEROS INSUASTI","0","115 cc Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","NT","55.735","4",""
"NT","266","Jhon Rene PARDO ARIAS","0","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","58.550","3",""
"NT","292","JUAN DAVID DE LOS RIOS GARCIA","0","115 cc Inicio","Yamaha","Nariño","CLUB ISLEÑOS TUMACO","NT","1:03.453","2",""
"NT","453","Alexander MARIN YEPES","0","115 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","1:01.981","1",""
"NT","158","Angel Alberto SALOMON ORTIZ","0","115 cc Inicio","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","NT","","",""
"NT","293-E","Juan Carlos Albán","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"NT","372","Alex Mauricio Mosquera Silva","0","115 cc Inicio","Yamaha","Putumayo","motoclub mocoa","NT","","",""
"NT","627","Carlos Andres HUGUITA CARRILLO","0","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","","",""
"NT","639-E","NICOLAS ALEJANDRO GUERRA DELGADO","0","115 cc Inicio","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","NT","","",""
"NT","703-E","Jean Carlos aranda González","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"NT","735-E","JUAN CARLOS RIVERA SALAS","0","115 cc Inicio","Yamaha","Nariño","MOTOSAM","NT","","",""
