"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","Caldas","CLUB JHC RACING","Yamaha","50.493","8","0.530","0.530",""
"2","243","David Fernando BURBANO GOMEZ","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","50.533","3","0.570","0.040",""
"3","207","David Alejandro FORERO ZAPATA","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","50.787","5","0.824","0.254",""
"4","681","Andres Felipe RESTREPO CASTRILLON","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","50.855","11","0.892","0.068",""
"5","88","Gerardo camilo TORRES","115 cc Elite","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","51.176","6","1.213","0.321",""
"6","227","Rigo German SALAZAR CERON","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","51.193","5","1.230","0.017",""
"7","41","Nicolas DUQUE PATIÑO","115 cc Elite","Meta","SUTA RACING CLUB","Yamaha","51.370","4","1.407","0.177",""
"8","726","Nicolas MILLAN MURILLO","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","51.380","4","1.417","0.010",""
"9","921","Giomar Nicolas Ruiz Burbano","115 cc Elite","Nariño","MOTOCLUB CONSACA","Yamaha","51.382","3","1.419","0.002",""
"10","434","EDGAR FELIPE ARTUNDUAGA CRUZ","115 cc Elite","Huila","CLUB MOTO JAPONESA","Yamaha","51.475","3","1.512","0.093",""
"11","96","Oscar Santiago MUÑOZ CARVAJAL","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","51.588","6","1.625","0.113",""
"12","818-E","Jorge Andres Gomez Eraso","115 cc Elite","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","51.744","5","1.781","0.156",""
"13","145","Juan Pablo GALVIS QUINTERO","115 cc Elite","Putumayo","PUERTO ASIS","Yamaha","51.748","3","1.785","0.004",""
"14","222-E","Jeisson David Lamilla","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.077","6","2.114","0.329",""
"15","846","Yamid Sebastian LOPEZ VALLEJOS","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.081","4","2.118","0.004",""
"16","988","JUAN CARLOS LOPEZ VIDAL","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.119","4","2.156","0.038",""
"17","691-E","JOSE LUIS ZARAMA CASTILLO","115 cc Elite","Nariño","CLUB DEPORTIVO LOS CAFETEROS","Yamaha","52.427","7","2.464","0.308",""
"18","312","Eder Sebastian JARAMILLO YARA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","52.632","7","2.669","0.205",""
"19","343","Juan Pablo BURBANO GOMEZ","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","52.663","5","2.700","0.031",""
"20","710","Alexander DIAZ CASTAÑO","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","52.679","3","2.716","0.016",""
"21","138-E","Nixon Yamit GARCIA DIAZ","115 cc Elite","Nariño","TEAM MOTOCLUB EL TAMBO","Yamaha","52.877","6","2.914","0.198",""
"22","155-E","Juan Felipe HERNANDEZ ALZATE","115 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","52.907","3","2.944","0.030",""
"23","831-E","JHON FREDY BURBANO PINZA","115 cc Elite","Nariño","TEAM MOTOCLUB EL TAMBO","Yamaha","53.138","9","3.175","0.231",""
"24","240-E","Luis Jaime","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","53.483","3","3.520","0.345",""
"25","424","Juan Manuel FORERO BANDERA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","54.567","3","4.604","1.084",""
"26","303-E","LUIS DAVID ROSALES DOMINGUEZ","115 cc Elite","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","49.963","5","","","RECORTE DE PISTA"
