"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","150 cc","Caldas","CLUB JHC RACING","Yamaha","47.561","3","","",""
"2","41","Nicolas DUQUE PATIÑO","150 cc","Meta","SUTA RACING CLUB","","47.899","3","0.338","0.338",""
"3","155-E","Juan Felipe HERNANDEZ ALZATE","150 cc","Meta","CLUB LLANEROS RANCING","Yamaha","48.425","5","0.864","0.526",""
"4","227","Rigo German SALAZAR CERON","150 cc","Quindío","CLUB MONSTER GARAGE","Yamaha","48.895","6","1.334","0.470",""
"5","726","Nicolas MILLAN MURILLO","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.247","3","1.686","0.352",""
"6","222-E","Jeisson David Lamilla","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.330","3","1.769","0.083",""
"7","988","JUAN CARLOS LOPEZ VIDAL","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.594","4","2.033","0.264",""
"8","145","Juan Pablo GALVIS QUINTERO","150 cc","Putumayo","PUERTO ASIS","Yamaha","50.132","10","2.571","0.538",""
"9","921","Giomar Nicolas Ruiz Burbano","150 cc","Nariño","MOTOCLUB CONSACA","Yamaha","50.179","6","2.618","0.047",""
"10","96","Oscar Santiago MUÑOZ CARVAJAL","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.568","5","3.007","0.389",""
"11","846","Yamid Sebastian LOPEZ VALLEJOS","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.629","8","3.068","0.061",""
"12","240-E","Luis Jaime","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","51.032","2","3.471","0.403",""
"13","434","EDGAR FELIPE ARTUNDUAGA CRUZ","150 cc","Huila","CLUB MOTO JAPONESA","Yamaha","51.322","2","3.761","0.290",""
"14","343","Juan Pablo BURBANO GOMEZ","150 cc","Putumayo","TEAM RACING MOCOA","Yamaha","51.879","9","4.318","0.557",""
"15","68","Alvaro Javier PEREZ BERNAL","150 cc","Quindío","CLUB DISCOVER QUINDIO","Yamaha","52.549","7","4.988","0.670",""
"16","88","Gerardo camilo TORRES","150 cc","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","54.962","2","7.401","2.413",""
"NE","207","David Alejandro FORERO ZAPATA","150 cc","Putumayo","TEAM RACING MOCOA","Yamaha","","0","","",""
"NE","243","David Fernando BURBANO GOMEZ","150 cc","Putumayo","TEAM RACING MOCOA","Yamaha","","0","","",""
"NE","398","Guillermo Augusto DIAZ","150 cc","Quindío","CLUB MONSTER GARAGE","Yamaha","","0","","",""
"NE","831-E","JHON FREDY BURBANO PINZA","150 cc","Nariño","TEAM MOTOCLUB EL TAMBO","Yamaha","","0","","",""
