"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","453","Alexander MARIN YEPES","150 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","51.402","7","","",""
"2","114","GIOVANY ANDRES ARTEAGA MONCAYO","150 cc Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","51.722","3","0.320","0.320",""
"3","428","DANIEL QUINTANA CASTRO","150 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","52.018","5","0.616","0.296",""
"4","242","Benjamín Mayoral Toledo","150 cc Inicio","Putumayo","TEAM RACING MOCOA","Yamaha","52.344","11","0.942","0.326",""
"5","258","EDWIN ALEXIS SANCHEZ MORA","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.468","5","1.066","0.124",""
"6","631","Johan GOMEZ PEREZ","150 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","52.528","7","1.126","0.060",""
"7","77","David Estevan Calvache González","150 cc Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","52.987","7","1.585","0.459",""
"8","833-E","Marco Gutiérrez Chávez","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","53.515","11","2.113","0.528",""
"9","388","Daniel Esteban López Vallejos","150 cc Inicio","Nariño","MOTOCLUB PROVIDENCIA","Yamaha","53.849","2","2.447","0.334",""
"10","206-E","Juan Sebastián Satizabal","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.664","4","3.262","0.815",""
"11","103","Juan Sebastian DIAZ OSPINA","150 cc Inicio","Huila","CLUB MOTO JAPONESA","Yamaha","55.763","2","4.361","1.099",""
"NE","372","Alex Mauricio Mosquera Silva","150 cc Inicio","Putumayo","motoclub mocoa","Yamaha","","0","","",""
"NE","627","Carlos Andres HUGUITA CARRILLO","150 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","","0","","",""
"NE","757-E","ESTEBAN ALAIN CISNEROS INSUASTI","150 cc Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","","0","","",""
