"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","200 cc 2T","Caldas","CLUB JHC RACING","Yamaha","46.988","3","","",""
"2","155-E","Juan Felipe HERNANDEZ ALZATE","200 cc 2T","Meta","CLUB LLANEROS RANCING","Yamaha","47.278","8","0.290","0.290",""
"3","88","Gerardo camilo TORRES","200 cc 2T","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","47.299","6","0.311","0.021",""
"4","41","Nicolas DUQUE PATIÑO","200 cc 2T","Meta","SUTA RACING CLUB","","47.522","7","0.534","0.223",""
"5","921","Giomar Nicolas Ruiz Burbano","200 cc 2T","Nariño","MOTOCLUB CONSACA","Yamaha","48.062","9","1.074","0.540",""
"6","227","Rigo German SALAZAR CERON","200 cc 2T","Quindío","CLUB MONSTER GARAGE","Yamaha","48.211","6","1.223","0.149",""
"7","96","Oscar Santiago MUÑOZ CARVAJAL","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","48.609","6","1.621","0.398",""
"8","243","David Fernando BURBANO GOMEZ","200 cc 2T","Putumayo","TEAM RACING MOCOA","Yamaha","48.813","4","1.825","0.204",""
"9","818-E","Jorge Andres Gomez Eraso","200 cc 2T","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","49.116","7","2.128","0.303",""
"10","240-E","Luis Jaime","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.252","4","2.264","0.136",""
"11","207","David Alejandro FORERO ZAPATA","200 cc 2T","Putumayo","TEAM RACING MOCOA","Yamaha","49.521","4","2.533","0.269",""
"12","138-E","Nixon Yamit GARCIA DIAZ","200 cc 2T","Nariño","TEAM MOTOCLUB EL TAMBO","Yamaha","49.582","7","2.594","0.061",""
"13","846","Yamid Sebastian LOPEZ VALLEJOS","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.834","8","2.846","0.252",""
"14","988","JUAN CARLOS LOPEZ VIDAL","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.944","10","2.956","0.110",""
"15","434","EDGAR FELIPE ARTUNDUAGA CRUZ","200 cc 2T","Huila","CLUB MOTO JAPONESA","Yamaha","50.474","5","3.486","0.530",""
"16","343","Juan Pablo BURBANO GOMEZ","200 cc 2T","Putumayo","TEAM RACING MOCOA","Yamaha","51.443","4","4.455","0.969",""
"17","158","Angel Alberto SALOMON ORTIZ","200 cc 2T","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","53.127","4","6.139","1.684",""
