"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","114","GIOVANY ANDRES ARTEAGA MONCAYO","15","AX 100 Inicio","Suzuki","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","","55.408","8",""
"2","239","Esteban DORADO SOLARTE","13","AX 100 Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","6.878","55.649","8",""
"3","833-E","Marco Gutiérrez Chávez","11","AX 100 Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7.072","56.201","8",""
"4","821-E","ALVARO DANILO CUASTUMAL PASTAS","10","AX 100 Inicio","Suzuki","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","10.314","56.355","8",""
"5","416-E","RUBEN DARIO NARVAEZ CHAVEZ","9","AX 100 Inicio","Suzuki","Nariño","MOTOCLUB CONSACA","17.231","57.002","8",""
"6","757-E","ESTEBAN ALAIN CISNEROS INSUASTI","8","AX 100 Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","18.405","57.146","8",""
"7","388","Daniel Esteban López Vallejos","7","AX 100 Inicio","Suzuki","Nariño","MOTOCLUB PROVIDENCIA","18.522","56.376","8",""
"8","732","FREDDY SANTIAGO MAYA OTAYA","6","AX 100 Inicio","Suzuki","Nariño","CLUB DEPORTIVO BUFALO XTREM","19.550","56.418","8",""
"9","184","Deimer Danny Diaz Arciniegas","5","AX 100 Inicio","Yamaha","Putumayo","motoclub mocoa","24.222","57.955","8",""
"10","242","Benjamín Mayoral Toledo","4","AX 100 Inicio","Suzuki","Putumayo","TEAM RACING MOCOA","37.640","58.982","8",""
"NT","735-E","JUAN CARLOS RIVERA SALAS","0","AX 100 Inicio","Yamaha","Nariño","MOTOSAM","NT","55.624","4",""
"NT","453","Alexander MARIN YEPES","0","AX 100 Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","1:02.887","4",""
"NT","266","Jhon Rene PARDO ARIAS","0","AX 100 Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","1:11.020","1",""
"NT","655-E","Diego Alexander Estrada Recalde","0","AX 100 Inicio","Suzuki","Nariño","CLUB DEPORTIVO SOLIMOTOS","NT","","",""
"EX","428","DANIEL QUINTANA CASTRO","0","AX 100 Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","EX","54.815","8","DESACATO STOP & GO"
"EX","703-E","Jean Carlos aranda González","0","AX 100 Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","EX","55.095","8","MODIFICACIONES EXHOSTO (REG. TÉC.)"
"EX","77","David Estevan Calvache González","0","AX 100 Inicio","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","EX","55.170","8","MODIFICACIONES EXHOSTO Y CAUCHO TORQUE NO CORRESPONDE A LA REF. DE LA MOTO (REG. TÉC.)"
"EX","910-E","GERMAN ANDRES ARCOS VITERI","0","AX 100 Inicio","Suzuki","Nariño","CLUB DEPORTIVO LOS CAFETEROS","EX","55.263","8","NO DEJÓ MOTO EN P.C."
