"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","737","Juan Jose AMAYA VAHOS","15","Infantil","Yamaha","Huila","CLUB MOTO JAPONESA","","54.488","8",""
"2","604","Samuel VARGAS OME","13","Infantil","TVS","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","0.172","54.107","8",""
"3","123","Samuel David HERNANDEZ MONTES","11","Infantil","AKT","Cesar","CLUB KALIMA RACING","9.429","55.175","8",""
"4","395","Andres David Madroñero Alvear","10","Infantil","Victory","Nariño","CLUB MOTEROS RIDERS LA UNION","13.315","55.908","8",""
"5","662","Carlos Ivan RIVERA BURBANO","9","Infantil","TVS","Nariño","CLUB JOSMARC MOTOS RACING","37.855","58.903","8",""
"6","961-E","Isaac Daniel Velasquez Salazar","8","Infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","47.650","59.037","8",""
"7","358-E","IAN ALARICK IPAZ GUERRERO","7","Infantil","AKT","Nariño","MOTOCLUB TANGUA RACING","52.435","58.564","8",""
"8","829-E","JUAN SEBASTIAN HOYOS","6","Infantil","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","58.773","1:01.093","8",""
"9","719-E","jhoan felipe velasquez pasuy","5","Infantil","TVS","Nariño","MOTOCLUB TANGUA RACING","1 Vuelta","1:01.648","7",""
"10","725","JOAQUIN ANDRES IBARRA PARRA","4","Infantil","Yamaha","Huila","CLUB MOTO JAPONESA","1 Vuelta","58.873","7",""
"11","633-E","DYLAN SANTIAGO JIMENEZ YELA","3","Infantil","TVS","Nariño","CLUB JOSMARC MOTOS RACING","1 Vuelta","1:04.695","7",""
"12","104-E","ZAMARA ARELLANO PEREZ","2","Infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:04.315","7",""
"13","83-E","TOMAS ECHAVARRIA GRISALES","1","Infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:07.091","7",""
"NT","307","Juan Jose JIMENEZ HIDALGO","0","Infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","NT","59.728","7",""
