"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","123","Samuel David HERNANDEZ MONTES","Pit bike infantil","Cesar","CLUB KALIMA RACING","AKT","53.011","11","","",""
"2","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike infantil","Quindío","CLUB MONSTER GARAGE","Yamaha","53.132","5","0.121","0.121",""
"3","604","Samuel VARGAS OME","Pit bike infantil","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","TVS","54.520","11","1.509","1.388",""
"4","737","Juan Jose AMAYA VAHOS","Pit bike infantil","Huila","CLUB MOTO JAPONESA","Yamaha","54.966","10","1.955","0.446",""
"5","395","Andres David Madroñero Alvear","Pit bike infantil","Nariño","CLUB MOTEROS RIDERS LA UNION","TVS","56.238","5","3.227","1.272",""
"6","662","Carlos Ivan RIVERA BURBANO","Pit bike infantil","Nariño","CLUB JOSMARC MOTOS RACING","TVS","57.057","4","4.046","0.819",""
"7","358-E","IAN ALARICK IPAZ GUERRERO","Pit bike infantil","Nariño","MOTOCLUB TANGUA RACING","TVS","58.040","2","5.029","0.983",""
"8","725","JOAQUIN ANDRES IBARRA PARRA","Pit bike infantil","Huila","CLUB MOTO JAPONESA","Yamaha","58.573","10","5.562","0.533",""
"9","181","Juan David Melo Bastidas","Pit bike infantil","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Victory","59.757","5","6.746","1.184",""
"10","84-E","EMANUEL LLANO GRISALES","Pit bike infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:00.519","3","7.508","0.762",""
"11","719-E","jhoan felipe velasquez pasuy","Pit bike infantil","Nariño","MOTOCLUB TANGUA RACING","TVS","1:01.239","9","8.228","0.720",""
"12","267","Andres Esteban HIGUITA CARRILLO","Pit bike infantil","Quindío","CLUB MONSTER GARAGE","Yamaha","1:05.717","2","12.706","4.478",""
"13","85-E","SANTIAGO MUÑOZ GUERRERO","Pit bike infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:13.212","6","20.201","7.495",""
