"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","227","Rigo German SALAZAR CERON","15","Supermoto","Husqvarna","Quindío","CLUB MONSTER GARAGE","","46.699","12",""
"2","155-E","Juan Felipe HERNANDEZ ALZATE","13","Supermoto","Yamaha","Meta","CLUB LLANEROS RANCING","1.072","46.702","12",""
"3","243","David Fernando BURBANO GOMEZ","11","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","6.476","46.379","12",""
"4","98","Mateo CASTELLANOS CARVAJAL","10","Supermoto","Yamaha","Caldas","CLUB JHC RACING","6.674","46.002","12",""
"5","921","Giomar Nicolas Ruiz Burbano","9","Supermoto","KTM","Nariño","MOTOCLUB CONSACA","31.792","48.822","12",""
"6","89","Andrés pantoja","8","Supermoto","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","32.876","48.773","12",""
"7","622","Carlos David Paz Agreda","7","Supermoto","KTM","Nariño","MOTOCLUB CONSACA","1 Vuelta","51.568","11",""
"8","158","Angel Alberto SALOMON ORTIZ","6","Supermoto","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","51.269","11",""
"9","248","JUAN DAVID ORTEGA PATIÑO","5","Supermoto","KTM","Nariño","MOTOCLUB TANGUA RACING","1 Vuelta","51.619","11",""
"10","207","David Alejandro FORERO ZAPATA","4","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","1 Vuelta","51.415","11",""
"11","346-E","Josue Daniel Bastidas Moncayo","3","Supermoto","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","54.431","11",""
"12","114","GIOVANY ANDRES ARTEAGA MONCAYO","2","Supermoto","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","2 Vueltas","52.883","10",""
"13","991-E","LUIS AEXANDER FERNANDEZ CASTILLO","1","Supermoto","KTM","Nariño","CLUB MOTEROS RIDERS LA UNION","2 Vueltas","58.241","10",""
"NT","41","Nicolas DUQUE PATIÑO","0","Supermoto","","Meta","SUTA RACING CLUB","NT","47.638","9",""
"NT","68","Alvaro Javier PEREZ BERNAL","0","Supermoto","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","NT","57.001","9",""
"NT","88","Gerardo camilo TORRES","0","Supermoto","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","NT","52.850","7",""
"NT","831-E","JHON FREDY BURBANO PINZA","0","Supermoto","Yamaha","Nariño","TEAM MOTOCLUB EL TAMBO","NT","53.631","7",""
"NE","328-E","YENER ARVEY MUÑOZ ORTIZ","0","Supermoto","KTM","Nariño","CLUB ISLEÑOS TUMACO","NE","","",""
