"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","15","150 cc","Yamaha","Caldas","CLUB JHC RACING","","46.881","10",""
"2","155","Juan Felipe HERNANDEZ ALZATE","13","150 cc","Yamaha","Meta","CLUB LLANEROS RANCING","8.482","45.414","10",""
"3","137","Alvaro Javier PLAZAS GONZALEZ","11","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8.483","48.314","10",""
"4","96","Oscar Santiago MUÑOZ CARVAJAL","10","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8.945","48.455","10",""
"5","818","Jorge Andres Gomez Eraso","9","150 cc","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","11.544","48.544","10",""
"6","394-E","Luis Jaime","8","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","11.693","48.438","10",""
"7","227","Rigo German SALAZAR CERON","7","150 cc","Yamaha","Quindío","CLUB MONSTER GARAGE","12.286","48.557","10",""
"8","243","David Fernando BURBANO GOMEZ","6","150 cc","Yamaha","Putumayo","TEAM RACING MOCOA","20.423","48.407","10",""
"9","829-E","Juan David Burbano Ramos","5","150 cc","KTM","Cauca","CLUB CORONA CLUB XTREME PARK","21.149","48.362","10",""
"10","349","Samuel Fernando rodriguez castro","4","150 cc","Yamaha","Putumayo","motoclub mocoa","25.462","49.169","10",""
"11","39-E","Julian David CONCHA VALENCIA","3","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","37.733","51.170","10",""
"12","207","David Alejandro FORERO ZAPATA","2","150 cc","Yamaha","Putumayo","TEAM RACING MOCOA","56.676","49.260","10",""
"13","726","Nicolas MILLAN MURILLO","1","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1 Vuelta","50.159","9",""
"NT","291","Juan David RIVERA PARRA","0","150 cc","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","NT","48.860","7",""
"NT","45","Juan Carlos SEGURA MARTINEZ","0","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","48.492","6",""
"NT","324-E","andres Felipe HERNANDEZ SORIANO","0","150 cc","Yamaha","Huila","CLUB MOTO JAPONESA","NT","48.594","6",""
"NT","619-E","Juan Felipe LAVERDE MUÑOZ","0","150 cc","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","50.997","4",""
"NT","68","Alvaro Javier PEREZ BERNAL","0","150 cc","Yamaha","Quindío","CLUB DISCOVER QUINDIO","NT","50.576","4",""
"NT","88","Gerardo camilo TORRES","0","150 cc","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","NT","47.729","3",""
"NT","988","JUAN CARLOS LOPEZ VIDAL","0","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","52.061","1",""
"NT","846","Yamid Sebastian LOPEZ VALLEJOS","0","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"NT","977-E","Jeisson David Lamilla","0","150 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
